taxonKey	scientificName	datasetKey	bb_key	bb_scientificName	bb_kingdom	bb_rank	bb_taxonomicStatus	bb_acceptedKey	bb_acceptedName	bb_acceptedKingdom	bb_acceptedRank	bb_acceptedTaxonomicStatus	verificationKey	remarks	verifiedBy	dateAdded	outdated
145961679	Ptinus ocellus	3f5e930b-52a5-461d-87ec-26ecd66f14a3	1095784	Ptinus ocellus Brown, 1929	Animalia	SPECIES	HETEROTYPIC_SYNONYM	1095783	Ptinus tectus Boieldieu, 1856	Animalia	SPECIES	ACCEPTED				2018-12-20	FALSE
145959043	Ptychotis saxifraga	3f5e930b-52a5-461d-87ec-26ecd66f14a3	6027308	Ptychotis saxifraga (L.) Drude	Plantae	SPECIES	HETEROTYPIC_SYNONYM	7518079	Ptychotis saxifraga Loret & Barrandon	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
141265317	Pulicaria arabica (L.) Cass. subsp. arabica	9ff7d317-609b-4c08-bd86-3bc404b77c42														2018-12-20	FALSE
141265186	Pulicaria arabica (L.) Cass. subsp. hispanica (Boiss.) Murb.	9ff7d317-609b-4c08-bd86-3bc404b77c42	6076957	Pulicaria arabica subsp. hispanica (Boiss.) Murb.	Plantae	SUBSPECIES	SYNONYM	3095595	Pulicaria paludosa Link	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145953520	Pycnostysanus azaleae	3f5e930b-52a5-461d-87ec-26ecd66f14a3	2598548	Pycnostysanus azaleae (Peck) E.W.Mason	Fungi	SPECIES	SYNONYM	2598552	Seifertia azaleae (Peck) Partr. & Morgan-Jones	Fungi	SPECIES	ACCEPTED				2018-12-20	FALSE
141265423	Pyracantha crenatoserrata (Hance) Rehder	9ff7d317-609b-4c08-bd86-3bc404b77c42	2988170	Pyracantha crenatoserrata (Hance) Rehd.	Plantae	SPECIES	SYNONYM	2988224	Pyracantha fortuneana (Maxim.) H.L.Li	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145957161	Pyrus pyraster	3f5e930b-52a5-461d-87ec-26ecd66f14a3	5362445	Pyrus pyraster (L.) Burgsd.	Plantae	SPECIES	HETEROTYPIC_SYNONYM	7712042	Pyrus communis subsp. pyraster (L.) Ehrh.	Plantae	SUBSPECIES	ACCEPTED				2018-12-20	FALSE
145953693	Pythium splendens	3f5e930b-52a5-461d-87ec-26ecd66f14a3	5424086	Pythium splendens Hans Braun, 1925	Chromista	SPECIES	SYNONYM	8059984	Globisporangium splendens (Hans Braun) Uzuhashi, Tojo & Kakish., 2010	Chromista	SPECIES	ACCEPTED				2018-12-20	FALSE
145958644	Quamoclit coccinea	3f5e930b-52a5-461d-87ec-26ecd66f14a3	5341733	Quamoclit coccinea (L.) Moench	Plantae	SPECIES	SYNONYM	7519113	Ipomoea rubriflora O'Donell	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145961941	Quercus palustris	3f5e930b-52a5-461d-87ec-26ecd66f14a3	2879112	Quercus palustris Regel	Plantae	SPECIES	HOMOTYPIC_SYNONYM	8326061	Quercus coccinea Münchh.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145957999	Ranunculus lanuginosus	3f5e930b-52a5-461d-87ec-26ecd66f14a3	3924644	Ranunculus lanuginosus Boiss. & Buhse	Plantae	SPECIES	SYNONYM	7276594	Ranunculus constantinopolitanus d'Urv.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145958712	Reseda lutea vivantii	3f5e930b-52a5-461d-87ec-26ecd66f14a3	3916611	Reseda lutea subsp. vivantii (P.Monts.) O.de Bolòs & J.Vigo	Plantae	SUBSPECIES	HETEROTYPIC_SYNONYM	7853188	Reseda lutea subsp. vivantii (P.Monts.) Rovira	Plantae	SUBSPECIES	ACCEPTED				2018-12-20	FALSE
141266382	Reynoutria compacta (Hook. f.) Nakai	9ff7d317-609b-4c08-bd86-3bc404b77c42	6709291	Reynoutria compacta (Hook.fil.) Nakai	Plantae	SPECIES	SYNONYM	2889173	Reynoutria japonica Houtt.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145957121	Rheum x hybridum	3f5e930b-52a5-461d-87ec-26ecd66f14a3	4037896	Rheum ×hybridum J.A.Murray	Plantae	SPECIES	SYNONYM	2888867	Rheum rhabarbarum L.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145960582	Rhopalosiphum insertum	3f5e930b-52a5-461d-87ec-26ecd66f14a3	8243540	Rhopalosiphum insertum Buckton, 1879	Animalia	SPECIES	SYNONYM	2069549	Rhopalosiphum oxyacanthae (Schrank, 1801)	Animalia	SPECIES	ACCEPTED				2018-12-20	FALSE
145960394	Rhus hirta	3f5e930b-52a5-461d-87ec-26ecd66f14a3	3190535	Rhus hirta (L.) Sudw.	Plantae	SPECIES	SYNONYM	3190538	Rhus typhina L.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145960323	Rhyparochromus vulgaris	3f5e930b-52a5-461d-87ec-26ecd66f14a3	5152523	Rhyparochromus vulgaris (Schilling, 1829)	Animalia	SPECIES	SYNONYM	8759844	Raglius vulgaris vulgaris	Animalia	SUBSPECIES	ACCEPTED				2018-12-20	FALSE
141264873	Ribes odoratum H.L. Wendl.	9ff7d317-609b-4c08-bd86-3bc404b77c42	8436755	Ribes odoratum H.L.Wendl.	Plantae	SPECIES	SYNONYM	4194303	Ribes aureum var. villosum DC.	Plantae	VARIETY	ACCEPTED				2018-12-20	FALSE
141264871	Ribes x nidigrolaria R. & A. Bauer	9ff7d317-609b-4c08-bd86-3bc404b77c42	4194699	Ribes ×nidigrolaria Rud.Bauer & A.Bauer	Plantae	SPECIES	SYNONYM	9781288	Ribes nigrum x uva-crispa	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
141265931	Rorippa stylosa (Pers.) Mansf. & Rothm.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3053252	Rorippa stylosa (Pers.) Mansf. & Rothm.	Plantae	SPECIES	SYNONYM	3053399	Rorippa pyrenaica (All.) Rchb.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
141265980	Rorippa x armoracioides (Tausch) Fuss	9ff7d317-609b-4c08-bd86-3bc404b77c42	3693306	Rorippa armoracioides (Tausch) Fuss	Plantae	SPECIES	SYNONYM	3693336	Rorippa anceps (Wahlenb.) Rchb.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
141265391	Rosa 'Dorothy Perkins'	9ff7d317-609b-4c08-bd86-3bc404b77c42														2018-12-20	FALSE
141265380	Rosa 'Hollandica'	9ff7d317-609b-4c08-bd86-3bc404b77c42														2018-12-20	FALSE
141265373	Rosa chinensis group	9ff7d317-609b-4c08-bd86-3bc404b77c42														2018-12-20	FALSE
145961115	Rosa virginiana	3f5e930b-52a5-461d-87ec-26ecd66f14a3	3006137	Rosa virginiana Mill.	Plantae	SPECIES	SYNONYM	7272185	Rosa carolina subsp. carolina	Plantae	SUBSPECIES	ACCEPTED				2018-12-20	FALSE
141266281	Rosmarinus officinalis L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	2926634	Rosmarinus officinalis L.	Plantae	SPECIES	SYNONYM	3889108	Salvia rosmarinus Schleiden	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
141266421	Rubrivena polystachya (Wall. ex Meisn.) M. Král	9ff7d317-609b-4c08-bd86-3bc404b77c42	4037343	Rubrivena polystachya (Wall.) M.Král	Plantae	SPECIES	SYNONYM	8848208	Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145962748	Rumex acetosa ambiguus	3f5e930b-52a5-461d-87ec-26ecd66f14a3	6449183	Rumex acetosa subsp. ambiguus (Gren.) Á.Löve	Plantae	SUBSPECIES	SYNONYM	2889037	Rumex rugosus Campd.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145962755	Rumex acetosa thyrsiflorus	3f5e930b-52a5-461d-87ec-26ecd66f14a3	4271185	Rumex acetosa subsp. thyrsiflorus (Fingerh.) Hayek	Plantae	SUBSPECIES	HETEROTYPIC_SYNONYM	7291605	Rumex thyrsiflorus subsp. thyrsiflorus	Plantae	SUBSPECIES	ACCEPTED				2018-12-20	FALSE
141266383	Rumex fueginus  Phil.	9ff7d317-609b-4c08-bd86-3bc404b77c42	2888982	Rumex fueginus R.Phil.	Plantae	SPECIES	SYNONYM	7350964	Rumex persicarioides var. fueginus (Phil.) A.Haines	Plantae	VARIETY	ACCEPTED				2018-12-20	FALSE
145962752	Rumex obtusifolius sylvestris	3f5e930b-52a5-461d-87ec-26ecd66f14a3	6285766	Rumex obtusifolius var. sylvestris (Wallr.) Koch	Plantae	VARIETY	SYNONYM	2889011	Rumex obtusifolius L.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145962751	Rumex obtusifolius transiens	3f5e930b-52a5-461d-87ec-26ecd66f14a3	4037874	Rumex obtusifolius var. transiens (Simonk.) K.Kubát	Plantae	VARIETY	HOMOTYPIC_SYNONYM	4035396	Rumex transiens (Simonk.) Tzvelev	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145959149	Sacchiphantes viridis	3f5e930b-52a5-461d-87ec-26ecd66f14a3	2049639	Sacchiphantes viridis (Ratzeburg, 1843)	Animalia	SPECIES	SYNONYM	2049651	Adelges viridis (Ratzeburg, 1843)	Animalia	SPECIES	ACCEPTED				2018-12-20	FALSE
