checklist_scientificName	backbone_scientificName	backbone_taxonomicStatus	backbone_acceptedName	backbone_taxonKey	backbone_acceptedKey	backbone_kingdom	backbone_issues	verification_key	date_added	checklists	remarks
Sedum sediforme (Jacq.) Pau i	Sedum sediforme (Jacq.) Pau	SYNONYM	Petrosedum sediforme (Jacq.) Grulich	5688347	4201784	Plantae	ORIGINAL_NAME_DERIVED	4201784	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Jovibarba sobolifera (Sims) Opiz	Jovibarba sobolifera (J.Sims) Opiz	SYNONYM	Sempervivum globiferum subsp. globiferum	8990928	7334391	Plantae	ORIGINAL_NAME_DERIVED	8091002	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum stoloniferum S.G. Gmel.	Sedum stoloniferum S.G.Gmel.	SYNONYM	Phedimus stoloniferus (S.G.Gmel.) 't Hart	5362051	4201585	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum anopetalum DC.	Sedum anopetalum DC.	SYNONYM	Petrosedum ochroleucum subsp. ochroleucum	5362017	9338223	Plantae	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum hybridum L.	Sedum hybridum L.	SYNONYM	Phedimus middendorfianus (Maxim.) 't Hart	5362013	4201668	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum anacampseros L.	Sedum anacampseros L.	SYNONYM	Hylotelephium anacampseros (L.) H.Ohba	5687999	4202184	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum kamtschaticum Fisch. & C.A. Mey. subsp. ellacombianum (Praeg.) R.T. Clausen	Sedum kamtschaticum subsp. ellacombianum (Praeger) R.T.Clausen	SYNONYM	Phedimus ellacombianus (Praeger) H.'t Hart	5708682	4927972	Plantae	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION	4927972	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum spurium Bieb.	Sedum spurium Bieb.	SYNONYM	Phedimus spurius (M.Bieb.) 't Hart	5362018	4201607	Plantae		4201607	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crassula helmsii (T. Kirk) Cock.	Crassula helmsii (Kirk) Cockayne	SYNONYM	Crassula helmsii A.Berger	5362054	8035075	Plantae	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum spectabile Boreau	Sedum spectabile Bor.	SYNONYM	Hylotelephium spectabile (Boreau) H.Ohba	5362067	2985863	Plantae		2985863	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
