checklist_scientificName	backbone_scientificName	backbone_taxonomicStatus	backbone_acceptedName	backbone_taxonKey	backbone_acceptedKey	backbone_kingdom	backbone_issues	verification_key	date_added	checklists	remarks
Amaranthus x ralletii Contré	Amaranthus ×ralletii Contré	SYNONYM	Amaranthus ozanonii Piszter	7975549	7576335	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Corispermum gmelinii Bunge	Corispermum gmelinii Bunge	SYNONYM	Corispermum declinatum var. tylocarpum (Hance) C.P.Tsien & C.G.Ma	7648345	3759901	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus powellii S. Watson subsp. bouchonii (Thell.) Costea & Carretero	Amaranthus powellii subsp. bouchonii (Thell.) Costea & Carretero	SYNONYM	Amaranthus bouchonii Thell.	5548528	5384361	Plantae		5384361	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Alternanthera nodiflora R. Brown	Alternanthera nodiflora R.Br.	SYNONYM	Alternanthera sessilis (L.) DC.	7323675	3084939	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus hybridus L. subsp. quitensis (Kunth) Costea & Carretero	Amaranthus hybridus subsp. quitensis (Kunth) Costea & Carretero	SYNONYM	Amaranthus quitensis Kunth	5547857	7323711	Plantae		7323711	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bassia scoparia (L.) Voss s.l.	Bassia scoparia (L.) Voss	SYNONYM	Bassia scoparia subsp. scoparia	7852603	7219488	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Einadia polygonoides (J. Murr) Wilson	Einadia polygonoides (Murr) Paul G.Wilson	SYNONYM	Chenopodium polygonoides (Murr) Aellen	3757344	3757457	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus macrocarpus Benth. var. pallidus Benth.	Amaranthus macrocarpus var. pallidus Benth.	SYNONYM	Amaranthus macrocarpus subsp. pallidus (Benth.) N.Bayón	5548724	9454901	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Teloxys aristata (L.) Moq.	Teloxys aristata (L.) Moq.	SYNONYM	Dysphania aristata (L.) Mosyakin & Clemants	3083888	5568439	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Alternanthera tenella Colla	Alternanthera tenella Colla	SYNONYM	Alternanthera ficoidea R.Br.	3084968	8160803	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Alternanthera denticulata R. Brown	Alternanthera denticulata R.Br.	SYNONYM	Alternanthera sessilis (L.) DC.	7655198	3084939	Plantae	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Stachys macrantha (C. Koch) Stearn	Stachys macrantha (K.Koch) Stearn	SYNONYM	Betonica macrantha K.Koch	3881468	3905825	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Caryopteris x clandonensis N.W. Simmonds ex Rehder	Caryopteris ×clandonensis N.W.Simmonds ex Rehder	SYNONYM	Caryopteris incana x mongholica	9401236	9784442	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Clinopodium nepeta Kuntze subsp. glandulosum (Req.) Govaerts	Clinopodium nepeta subsp. glandulosum (Req.) Govaerts	SYNONYM	Clinopodium nepeta subsp. spruneri (Boiss.) Bartolucci & F.Conti	3886262	7757431	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Mentha spicata L. subsp. glabrata (Lej. & Court.) Lebeau	Mentha spicata subsp. glabrata (Lej. & Courtois) Lebeau	SYNONYM	Mentha spicata subsp. spicata	3895556	7308335	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Clinopodium grandiflorum (L.) O. Kuntze	Clinopodium grandiflorum (L.) Kuntze	SYNONYM	Drymosiphon grandiflorus (L.) Melnikov	7437438	9269392	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Thymus pannonicus All.	Thymus pannonicus All.	SYNONYM	Thymus pulegioides subsp. pannonicus (All.) Kerguélen	5341447	5605749	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Salvia lavandulifolia Vahl subsp. gallica Lippert	Salvia lavandulifolia subsp. gallica W.Lippert	SYNONYM	Salvia officinalis subsp. gallica (W.Lippert) Reales, D.Rivera & Obón	3898065	6411218	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Mentha x smithiana R.A. Graham	Mentha smithiana R.A.Graham	SYNONYM	Mentha wirtgeniana F.W.Schultz	2927185	3893979	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rosmarinus officinalis L.	Rosmarinus officinalis L.	SYNONYM	Salvia rosmarinus Schleiden	2926634	3889108	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Acer palmatum Thunb.	Acer palmatum Thunb.	SYNONYM	Acer palmatum C.P.Thunberg ex A.Murray	3189882	7912328	Plantae	CONFLICTING_BASIONYM_COMBINATION	7912328	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Anogramma chaerophylla (Desv.) Link	Anogramma chaerophylla (Desv.) Link	SYNONYM	Gastoniella chaerophylla (Desv.) Li Bing Zhang & Liang Zhang	5566061	9662775	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Adiantum raddianum C. Presl	Adiantum raddianum C.Presl	SYNONYM	Doryopteris raddiana (Pr.) F	2651826	7335777	Plantae	CONFLICTING_BASIONYM_COMBINATION	7335777	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amsinckia retrorsa Suksd.	Amsinckia retrorsa Suksd.	SYNONYM	Amsinckia menziesii (Lehm.) A.Nels.Macbr.	4067952	2925870	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amsinckia micrantha Suksd.	Amsinckia micrantha Suksdorf	SYNONYM	Amsinckia menziesii (Lehm.) A.Nels.Macbr.	4058401	2925870	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Omphalodes linifolia (L.) Moench	Omphalodes linifolia (L.) Moench	SYNONYM	Iberodes linifolia (L.) Serrano, R.Carbajal & S.Ortiz	2926050	9629001	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Nemophila menziesii Hook. & Arnott var. integrifolia Parish	Nemophila menziesii var. integrifolia Parish.	SYNONYM	Nemophila menziesii var. integrifolia (Parish) Brand	3611735	7536406	Plantae	CONFLICTING_BASIONYM_COMBINATION	7536406	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Anchusa ovata Lehm.	Anchusa ovata Lehm.	SYNONYM	Lycopsis arvensis subsp. orientalis (L.) Kuzn.	5662067	8167990	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aconogonon campanulatum (Hook. f.) H. Hara	Aconogonon campanulatum (Hook.fil.) Hara	SYNONYM	Koenigia campanulata (Hook.f.) T.M.Schust. & Reveal	6391389	9018536	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Reynoutria compacta (Hook. f.) Nakai	Reynoutria compacta (Hook.fil.) Nakai	SYNONYM	Reynoutria japonica Houtt.	6709291	2889173	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rumex fueginus  Phil.	Rumex fueginus R.Phil.	SYNONYM	Rumex persicarioides var. fueginus (Phil.) A.Haines	2888982	7350964	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
x Reyllopia conollyana (J.P. Bailey) Galasso	×Reyllopia conollyana (J.P.Bailey) Galasso	SYNONYM	Fallopia baldschuanica x japonica	4038524	9758813	Plantae	CONFLICTING_BASIONYM_COMBINATION	9758813	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aconogonon x fennicum Reiersen	Aconogonon fennicum Reiersen	SYNONYM	Koenigia fennica (Reiersen) T.M.Schust. & Reveal	4035232	8773480	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Emex spinosa (L.) Campd.	Emex spinosa (L.) Campd.	SYNONYM	Rumex spinosus L.	2888869	2888870	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rubrivena polystachya (Wall. ex Meisn.) M. Král	Rubrivena polystachya (Wall.) M.Král	SYNONYM	Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal	4037343	8848208	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Emex australis Steinh.	Emex australis Steinh.	SYNONYM	Rumex hypogaeus T.M.Schust. & Reveal	2888871	8909872	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aconogonon divaricatum (L.) Nakai	Aconogonon divaricatum (L.) Nakai	SYNONYM	Koenigia divaricata (L.) T.M.Schust. & Reveal	7291572	8720751	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erodium moschatum (L.) L'Hérit. var. moschatum	Erodium moschatum var. moschatum	SYNONYM	Erodium moschatum (Burm.f.) L'Hér.	7258888	9419993	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Monsonia angustifolia E. Mey. ex A. Rich.	Monsonia angustifolia E.Mey. ex A.Rich.	SYNONYM	Monsonia angustifolia E.Mey.	7926816	3828021	Plantae	CONFLICTING_BASIONYM_COMBINATION	3828021	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Geranium x magnificum Hyl.	Geranium ×magnificum Hyl.	SYNONYM	Geranium ibericum x platypetalum	2889980	9742114	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Geranium x cantabrigiense Yeo	Geranium ×cantabrigiense Yeo	SYNONYM	Geranium dalmaticum x macrorrhizum	2890995	9794106	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erodium cygnorum Nees subsp. glandulosum Carol.	Erodium cygnorum subsp. glandulosum Carolin	SYNONYM	Erodium carolinianum Aldasoro, C.Aedo, C.Navarro & L.Sáez	3827934	3828342	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malva preissiana Miq.	Malva preissiana Miq.	SYNONYM	Malva australiana M.F.Ray	3941038	3935002	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malva setigera F.K. Schimp. & Spenn.	Malva setigera K.F.Schimp. & Spenn.	SYNONYM	Althaea hirsuta L.	3940638	3152521	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Abutilon x suntense C.D. Brickell	Abutilon ×suntense C.D.Brickell	SYNONYM	Corynabutilon ×suntense (C.D.Brickell) Fryxell	3935725	3937506	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malva pseudolavatera Webb & Berthelot	Malva pseudolavatera Webb & Berthel.	SYNONYM	Malva multiflora (Cav.) Soldano, Banfi & Galasso	3940998	3933415	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malva trimestris (L.) Salisb. var. brachypoda (Pérez Lara) Verloove & Lambinon	Malva trimestris var. brachypoda (Pérez Lara) Verloove & Lambinon	SYNONYM	Malva trimestris Salisb.	8300984	3940326	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sidalcea oregana (Nutt.) A. Gray	Sidalcea oregana (Nutt. ex Torr. & A.Gray) A.Gray	SYNONYM	Sidalcea malviflora subsp. malviflora	9733080	7226545	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Oenothera depressa E. Greene	Oenothera depressa Greene	SYNONYM	Oenothera villosa subsp. villosa	6428493	6427623	Plantae	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ludwigia hexapetala (Hook. & Arnott) Zardini, Gu & Raven	Ludwigia hexapetala (Hook. & Arn.) E.M.Zardini, H.Y.Gu & P.H.Raven	SYNONYM	Ludwigia grandiflora var. hexapetala (Hook. & Arn.) D.B.Ward	5421040	8309092	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Oenothera rubricalyx R.R. Gates	Oenothera rubricalyx R.R.Gates	SYNONYM	Oenothera perangusta R.R.Gates	3665866	7322738	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Oenothera cruciata Nutt. ex G. Don	Oenothera cruciata Nutt. ex G.Don	SYNONYM	Oenothera parviflora L.	7926755	8994150	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chamaenerion dodonaei (Vill.) Schur	Chamaenerion dodonaei (Vill.) Schur	SYNONYM	Epilobium dodonaei Vill.	7742704	3666323	Plantae	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION	3666323	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Clarkia elegans Douglas	Clarkia elegans Dougl.	SYNONYM	Clarkia unguiculata Lindl.	5420958	5420957	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Oenothera elata Humb., Bonpl. & Kunth	Oenothera elata Kunth	SYNONYM	Oenothera elata subsp. elata	3188829	7223881	Plantae	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Larix x marschlinsii Coaz	Larix ×marschlinsii Coaz	SYNONYM	Larix decidua x kaempferi	4938682	9762894	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Galium parisiense L. var. leiocarpum Tausch	Galium parisiense var. leiocarpum Tausch	SYNONYM	Galium parisiense L.	2914818	2913169	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Phuopsis stylosa (Trin.) Benth. & Hook. f. ex B.D. Jackson	Phuopsis stylosa (Trin.) Hook.f. ex B.D.Jacks.	SYNONYM	Phuopsis stylosa (Trin.) G.Nicholson	2903387	7671397	Plantae	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cucumis myriocarpus Naudin	Cucumis myriocarpus Naud.	SYNONYM	Cucumis myriocarpus subsp. myriocarpus	2874575	3624993	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bartsia trixago L.	Bartsia trixago L.	SYNONYM	Bellardia trixago All.	3171813	5414976	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Parentucellia viscosa (L.) Caruel	Parentucellia viscosa (L.) Caruel	SYNONYM	Bellardia viscosa Fisch. & C.A.Mey.	3171818	7733140	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Salix babylonica L. var. pekinensis A. Henry	Salix babylonica var. pekinensis Henry	SYNONYM	Salix babylonica L.	9306497	5372639	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Salix dasyclados Wimm.	Salix dasyclados Wimmer	SYNONYM	Salix holosericea Willd.	5583837	7895688	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Populus trichocarpa Torr. & A. Gray ex Hook.	Populus trichocarpa Torr. & Gray ex Hooker	SYNONYM	Populus balsamifera subsp. trichocarpa (Torr. & A.Gray) Brayshaw	6362904	3806052	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Populus x generosa A. Henry	Populus generosa A.Henry	SYNONYM	Populus jackii Sarg.	3040245	3040241	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Scorpiurus muricatus L. subsp. sulcatus (L.) Thell.	Scorpiurus muricatus subsp. sulcatus (L.) Thell.	SYNONYM	Scorpiurus muricatus L.	5358307	5358302	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Medicago monantha (C.A. Mey.) Trautv. subsp. incisa (Benth.) Verloove & Lambinon	Medicago monantha subsp. incisa (Benth.) Verloove & Lambinon	SYNONYM	Medicago monantha Trautv.	3966132	2965226	Plantae	CONFLICTING_BASIONYM_COMBINATION	2965226	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Medicago x varia Martyn	Medicago varia Martyn	SYNONYM	Medicago sativa subsp. varia (Martyn) Arcang.	2965331	8316569	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Scorpiurus muricatus L. subsp. muricatus	Scorpiurus muricatus subsp. muricatus	SYNONYM	Scorpiurus muricatus L.	9388245	5358302	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cytisus sessilifolius L.	Cytisus sessilifolius L.	SYNONYM	Cytisophyllum sessilifolium O.Lang	5347864	2940408	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Melilotus officinalis Lam.	Melilotus officinalis Lam.	SYNONYM	Melilotus officinalis Pall.	8193111	2971024	Plantae	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Biserrula pelecinus L.	Biserrula pelecinus L.	SYNONYM	Astragalus pelecinus subsp. pelecinus	2938473	7068263	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sesbania exaltata (Rafin.) Rydberg ex A.W. Hill	Sesbania exaltata (Raf.) Rydb. ex A.W.Hill	SYNONYM	Sesbania herbacea (Mill.) McVaugh	7394001	2970585	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Desmanthus illinoensis (Michaux) Mc. Millan ex Robinson & Fernald	Desmanthus illinoensis (Michx.) Robinson & Fernald	SYNONYM	Desmanthus illinoensis MacMill.	7484581	5360112	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sulla coronaria (L.) Med.	Sulla coronaria (L.) Medik., 1789	SYNONYM	Hedysarum coronarium L.	8081232	2960919	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Scorpiurus muricatus L. subsp. subvillosus (L.) Thell.	Scorpiurus muricatus subsp. subvillosus (L.) Thell.	SYNONYM	Scorpiurus muricatus L.	8082844	5358302	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Medicago monantha (C.A. Mey.) Trautv. subsp. noeana (Boiss.) Greuter & Burdet	Medicago monantha subsp. noeana (Boiss.) Greuter & Burdet	SYNONYM	Medicago monantha Trautv.	3966127	2965226	Plantae	CONFLICTING_BASIONYM_COMBINATION	2965226	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lathyrus cicera L.	Lathyrus cicera L.	SYNONYM	Astragalus cicer L.	5356481	5343253	Plantae	CONFLICTING_BASIONYM_COMBINATION	5356481	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	I think the backbone is wrong for this name
Vicia dalmatica A. Kerner	Vicia dalmatica A.Kern.	SYNONYM	Vicia tenuifolia subsp. dalmatica (A.Kern.) Greuter	3973636	3971572	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Verbascum x angulosum Teyber	Verbascum ×angulosum Teyber	SYNONYM	Verbascum nigrum x speciosum	9629891	9783082	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chaenostoma cordatum (Thunb.) Benth.	Chaenostoma cordatum Benth.	SYNONYM	Sutera cordata Kuntze	5561475	3728734	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Alonsoa intermedia Lodd.	Alonsoa intermedia Lodd.	SYNONYM	Alonsoa linearis Ruiz & Pav.	3724078	7331548	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aconitum x stoerkianum Reichenb.	Aconitum stoerkianum Rchb.	SYNONYM	Aconitum nasutum subsp. paniculatum (Arcangeli) Greuter & Burdet	3920712	9159238	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Anemone hepatica L.	Anemone hepatica L.	SYNONYM	Hepatica nobilis Schreb.	6375391	5371699	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Delphinium orientale J. Gay	Delphinium orientale Gay	SYNONYM	Consolida orientalis (J.Gay) R.Schrödinger	3033829	3033828	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aconitum napellus  L. subsp. napellus var. giganteum (Dum. ex Thielens) J. Duvigneaud	Aconitum napellus var. giganteum (Dumort. ex Thielens) J.Duvigneaud	SYNONYM	Aconitum napellus subsp. lusitanicum Rouy	3922770	7707872	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Delphinium ajacis L.	Delphinium ajacis L.	SYNONYM	Consolida ajacis (L.) Schur	3033833	3033830	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Calandrinia elegans Spach	Calandrinia elegans Spach	SYNONYM	Calandrinia ciliata DC.	7389949	3084693	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crocus x stellaris Haw.	Crocus stellaris Haw.	SYNONYM	Crocus luteus Lam.	3586380	2747750	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Physalis angulata L. var. angulata	Physalis angulata var. angulata	SYNONYM	Physalis angulata L.	7300041	5341792	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum rostratum Dun.	Solanum rostratum Dun.	SYNONYM	Solanum angustifolium Mill.	2930922	2929800	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Nicotiana x sanderae Sander ex Will. Watson	Nicotiana ×sanderae W.Watson	SYNONYM	Nicotiana alata x forgetiana	3799170	9652942	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum chenopodioides Lam.	Solanum chenopodioides Lam.	SYNONYM	Solanum nigrum L.	2929710	9150405	Plantae	CONFLICTING_BASIONYM_COMBINATION	2929710	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	I think the backbone is wrong for this name
Petunia parviflora Juss.	Petunia parviflora Juss.	SYNONYM	Calibrachoa parviflora (Jussieu) D'Arcy	2928906	2928905	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Physalis alkekengi L. var. franchetii (Masters) Makino	Physalis alkekengi var. franchetii (Masters) Makino	SYNONYM	Alkekengi officinarum var. franchetii (Masters)	5829065	9537212	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum nodiflorum Jacq. ?	Solanum nodiflorum Jacq.	SYNONYM	Solanum americanum subsp. americanum	2930248	9594551	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum triflorum Nutt. var. ponticum (Prodan) Borza	Solanum triflorum var. ponticum (Prodán) Borza	SYNONYM	Solanum triflorum Nutt.	2931238	2931237	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum nigrum L. subsp. schultesii (Opiz) Wessely	Solanum nigrum subsp. schultesii (Opiz) Wessely	SYNONYM	Solanum decipiens Opiz	2932877	2932872	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Physalis minima L.	Physalis minima L.	SYNONYM	Physalis lagascae Roem. & Schult.	5341772	5341775	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Physalis angulata L. var. pendula (Rydberg) Waterfall	Physalis angulata var. pendula (Rydb.) Waterf.	SYNONYM	Physalis angulata L.	5341795	5341792	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Juncus tenuis Willd. subsp. dichotomus (Elliott) Verloove & Lambinon	Juncus tenuis subsp. dichotomus (Elliott) Verloove & Lambinon	SYNONYM	Juncus dichotomus Elliott	8143288	2701120	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Juncus tenuis Willd. subsp. anthelatus (Wiegand) Verloove & Lambinon	Juncus tenuis subsp. anthelatus (Wiegand) Verloove & Lambinon	SYNONYM	Juncus anthelatus (Wiegand) R.E.Brooks	7841979	2702058	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Juncus tenuis Willd. subsp. dudleyi (Wiegand) P. Fourn.	Juncus tenuis subsp. dudleyi (Wiegand) P.Fourn.	SYNONYM	Juncus dudleyi Wiegand	2701833	2701831	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Honorius nutans (L.) Gray	Honorius nutans (L.) Gray	SYNONYM	Ornithogalum nutans L.	2773290	2773281	Plantae	ORIGINAL_NAME_DERIVED	2773281	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Loncomelos brevistylus (Wolfner ) Dostál	Loncomelos brevistylum (Wolfner) Dostál	SYNONYM	Ornithogalum pyramidale L.	2772890	2772885	Plantae		2772885	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chionodoxa luciliae Boiss.	Chionodoxa luciliae Boiss.	SYNONYM	Scilla luciliae (Boiss.) Speta	2767272	2767271	Plantae		2767271	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Loncomelos narbonense (L.) Raf.	Loncomelos narbonense (L.) Raf.	SYNONYM	Ornithogalum narbonense L.	2772978	2772958	Plantae	ORIGINAL_NAME_DERIVED	2772958	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Scilla siberica Haw.	Scilla siberica Haw.	SYNONYM	Scilla siberica Andrews	2767328	8080743	Plantae	CONFLICTING_BASIONYM_COMBINATION	8080743	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chionodoxa sardensis Whittall ex Barr & Sugd.	Chionodoxa sardensis Whittall ex Barr & Sayden	SYNONYM	Scilla sardensis (Barr & Sugden) Speta	2767230	2767229	Plantae		2767229	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Euphorbia serpens Kunth subsp. fissistipula (Thell.) Verloove & Lambinon	Euphorbia serpens subsp. fissistipula (Thell.) Verloove & Lambinon	SYNONYM	Euphorbia serpens Kunth	8273282	3064221	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Euphorbia brittingeri Opiz ex Samp.	Euphorbia brittingeri Opiz ex Samp.	SYNONYM	Euphorbia verrucosa L.	3069065	3069053	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
