key,scientificName,canonicalName,authorship,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,parentKey,parent,acceptedKey,accepted,source
1047536,"Leptinotarsa decemlineata (Say, 1824)",Leptinotarsa decemlineata,"(Say, 1824)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Leptinotarsa,Leptinotarsa decemlineata,7587586,Leptinotarsa,,,unified checklist
1080709,"Protaetia morio (Fabricius, 1781)",Protaetia morio,"(Fabricius, 1781)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Protaetia,Protaetia morio,1080110,Protaetia,,,unified checklist
1095946,"Reesa vespulae (Milliron, 1939)",Reesa vespulae,"(Milliron, 1939)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Reesa,Reesa vespulae,1095945,Reesa,,,unified checklist
1102800,"Penichroa fasciata (Stephens, 1831)",Penichroa fasciata,"(Stephens, 1831)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Penichroa,Penichroa fasciata,1102799,Penichroa,,,unified checklist
1111797,"Chlorophorus annularis (Fabricius, 1787)",Chlorophorus annularis,"(Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Chlorophorus,Chlorophorus annularis,1111662,Chlorophorus,,,unified checklist
1112380,"Mallodon downesii Hope, 1843",Mallodon downesii,"Hope, 1843",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Mallodon,Mallodon downesii,1160848,Mallodon,,,unified checklist
1119292,"Morimus asper (Sulzer, 1776)",Morimus asper,"(Sulzer, 1776)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Morimus,Morimus asper,1119278,Morimus,,,unified checklist
1133603,"Batocera lineolata Chevrolat, 1852",Batocera lineolata,"Chevrolat, 1852",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Batocera,Batocera lineolata,1133595,Batocera,,,unified checklist
1146023,"Aegosoma scabricorne (Scopoli, 1763)",Aegosoma scabricorne,"(Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Aegosoma,Aegosoma scabricorne,1145989,Aegosoma,,,unified checklist
1152186,"Callidiellum rufipennis (Motschulsky, 1861)",Callidiellum rufipennis,"(Motschulsky, 1861)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Callidiellum,Callidiellum rufipennis,1152185,Callidiellum,,,unified checklist
1176471,"Polydrusus picus (Fabricius, 1792)",Polydrusus picus,"(Fabricius, 1792)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Polydrusus,Polydrusus picus,1176427,Polydrusus,,,unified checklist
1194885,"Otiorhynchus meridionalis Gyllenhal, 1834",Otiorhynchus meridionalis,"Gyllenhal, 1834",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus meridionalis,1194803,Otiorhynchus,,,unified checklist
1194989,"Otiorhynchus cribricollis Gyllenhal, 1834",Otiorhynchus cribricollis,"Gyllenhal, 1834",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus cribricollis,1194803,Otiorhynchus,,,unified checklist
1195013,"Otiorhynchus aurifer Boheman, 1842",Otiorhynchus aurifer,"Boheman, 1842",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus aurifer,1194803,Otiorhynchus,,,unified checklist
1224025,"Lixus ochraceus Boheman, 1843",Lixus ochraceus,"Boheman, 1843",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Lixus,Lixus ochraceus,1223958,Lixus,,,unified checklist
1247584,"Stenopelmus rufinasus Gyllenhal, 1835",Stenopelmus rufinasus,"Gyllenhal, 1835",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Brachyceridae,Stenopelmus,Stenopelmus rufinasus,1247582,Stenopelmus,,,unified checklist
1276876,"Ctenochares bicolorus (Linnaeus, 1767)",Ctenochares bicolorus,"(Linnaeus, 1767)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Ctenochares,Ctenochares bicolorus,1276863,Ctenochares,,,unified checklist
1309561,"Plagiotrochus quercusilicis (Fabricius, 1798)",Plagiotrochus quercusilicis,"(Fabricius, 1798)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Plagiotrochus,Plagiotrochus quercusilicis,1309559,Plagiotrochus,,,unified checklist
1309600,"Andricus kollari (Hartig, 1843)",Andricus kollari,"(Hartig, 1843)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Andricus,Andricus kollari,1309591,Andricus,,,unified checklist
1309606,"Andricus grossulariae Giraud, 1859",Andricus grossulariae,"Giraud, 1859",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Andricus,Andricus grossulariae,1309591,Andricus,,,unified checklist
1309635,"Aphelonyx cerricola (Giraud, 1859)",Aphelonyx cerricola,"(Giraud, 1859)",SPECIES,DOUBTFUL,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Aphelonyx,Aphelonyx cerricola,1309634,Aphelonyx,,,unified checklist
1309652,"Dryocosmus kuriphilus Yasumatsu, 1951",Dryocosmus kuriphilus,"Yasumatsu, 1951",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Dryocosmus,Dryocosmus kuriphilus,1309651,Dryocosmus,,,unified checklist
1311477,"Vespa velutina Lepeletier, 1836",Vespa velutina,"Lepeletier, 1836",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa velutina,1311334,Vespa,,,unified checklist
1313740,"Camponotus vagus (Scopoli, 1763)",Camponotus vagus,"(Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus vagus,1312361,Camponotus,,,unified checklist
1314773,"Monomorium pharaonis (Linnaeus, 1758)",Monomorium pharaonis,"(Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Monomorium,Monomorium pharaonis,1314419,Monomorium,,,unified checklist
1316805,"Tapinoma melanocephalum (Fabricius, 1793)",Tapinoma melanocephalum,"(Fabricius, 1793)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tapinoma,Tapinoma melanocephalum,1316784,Tapinoma,,,unified checklist
1316908,"Linepithema humile (Mayr, 1868)",Linepithema humile,"(Mayr, 1868)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,1316904,Linepithema,,,unified checklist
1319260,"Tetraponera allaborans (Walker, 1859)",Tetraponera allaborans,"(Walker, 1859)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetraponera,Tetraponera allaborans,1319181,Tetraponera,,,unified checklist
1320777,"Plagiolepis pygmaea (Latreille, 1798)",Plagiolepis pygmaea,"(Latreille, 1798)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Plagiolepis,Plagiolepis pygmaea,1320758,Plagiolepis,,,unified checklist
1321805,"Pheidole bilimeki Mayr, 1870",Pheidole bilimeki,"Mayr, 1870",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole bilimeki,1321654,Pheidole,,,unified checklist
1322674,"Pheidole anastasii Emery, 1896",Pheidole anastasii,"Emery, 1896",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole anastasii,1321654,Pheidole,,,unified checklist
1323402,"Tetramorium bicarinatum (Nylander, 1846)",Tetramorium bicarinatum,"(Nylander, 1846)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,Tetramorium bicarinatum,1323128,Tetramorium,,,unified checklist
1325120,"Crematogaster scutellaris (Olivier, 1792)",Crematogaster scutellaris,"(Olivier, 1792)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,Crematogaster scutellaris,1324306,Crematogaster,,,unified checklist
1325561,"Paratrechina longicornis (Latreille, 1802)",Paratrechina longicornis,"(Latreille, 1802)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Paratrechina,Paratrechina longicornis,1325421,Paratrechina,,,unified checklist
1326634,"Hypoponera punctatissima (Roger, 1859)",Hypoponera punctatissima,"(Roger, 1859)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,Hypoponera punctatissima,1326614,Hypoponera,,,unified checklist
