verificationKey,marine,freshwater,terrestrial,datasetKey,taxonKey,scientificName
2287249,TRUE,FALSE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562922,Ensis directus
2287615,TRUE,FALSE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562949,Petricolaria pholadiformis
2287668,TRUE,FALSE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562948,Mercenaria mercenaria
2288847,TRUE,FALSE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562934,Teredo navalis
2288859,TRUE,FALSE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562935,Psiloteredo megotara
2294277,FALSE,FALSE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042426,"Theba pisana (Müller, 1774)"
2296805,FALSE,FALSE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042390,"Trochoidea elegans (Gmelin, 1791)"
2296809,FALSE,FALSE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042484,"Cochlicella barbara (Linnaeus, 1758)"
2297108,FALSE,FALSE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042431,"Milax gagates (Draparnaud, 1801)"
2308541,FALSE,TRUE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562902,Limnodrilus cervix
2308574,FALSE,TRUE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562898,Branchiura sowerbyi
2308605,FALSE,TRUE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562899,Potamothrix vejdovskyi
2320810,TRUE,FALSE,FALSE,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157127100,"Boccardia proboscidea Hartman, 1940"
2320998,TRUE,FALSE,FALSE,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157127087,"Boccardiella hamata (Webster, 1879)"
2321010,TRUE,TRUE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562907,Marenzelleria neglecta
2321012,TRUE,TRUE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562906,Marenzelleria viridis
2327735,FALSE,TRUE,FALSE,289244ee-e1c1-49aa-b2d7-d379391ce265,140562910,Ficopomatus enigmaticus
2330928,TRUE,FALSE,FALSE,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157129917,"Aplidium glabrum (Verrill, 1871)"
2331498,TRUE,FALSE,FALSE,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157129867,"Molgula manhattensis (De Kay, 1843)"
2331942,TRUE,FALSE,FALSE,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157129825,"Styela clava Herdman, 1881"
2337607,FALSE,TRUE,FALSE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042351,"Silurus glanis Linnaeus, 1758"
2340977,FALSE,TRUE,FALSE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042376,"Ameiurus melas Rafinesque, 1820"
2340989,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117244,Ameiurus nebulosus
2351064,FALSE,TRUE,FALSE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042384,"Coregonus nasus Pallas, 1776"
2351136,FALSE,TRUE,FALSE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042317,"Coregonus peled (J. F. Gmelin, 1788)"
2351211,FALSE,TRUE,FALSE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042345,"Coregonus lavaretus (Linnaeus, 1758)"
2351271,TRUE,TRUE,FALSE,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130610,"Salvelinus fontinalis (Mitchill, 1814)"
2351413,FALSE,TRUE,FALSE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042377,"Hucho hucho (Linnaeus, 1758)"
2360504,FALSE,TRUE,FALSE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042330,"Vimba vimba (Linnaeus, 1758)"
2362030,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117254,Ctenopharyngodon idella
2362473,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117235,Hypophthalmichthys molitrix
2362486,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117249,Hypophthalmichthys nobilis
2362868,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117252,Pseudorasbora parva
2362881,FALSE,TRUE,FALSE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042356,"Leucaspius delineatus Heckel, 1843"
2366634,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117236,Carassius gibelio
2367033,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117246,Ballerus ballerus
2367742,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117237,Pimephales promelas
2379089,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117247,Neogobius melanostomus
