taxonKey,scientificName,taxonID,datasetKey,nameType,issues,validDistribution,bb_key,bb_scientificName,bb_kingdom,bb_rank,bb_taxonomicStatus,bb_acceptedKey,bb_acceptedName,verificationKey
145954540,Polysiphonia fucoides,rinse-checklist:taxon:568127845962f43adf0aaf45936fbabc,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5277736,Polysiphonia fucoides (Hudson) Greville,Plantae,SPECIES,ACCEPTED,,,5277736
145954543,Ondatra zibethicus,rinse-checklist:taxon:f0e46c41a9a6514b9b8f3adbf3a2a8a1,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5219858,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,SPECIES,ACCEPTED,,,5219858
145954544,Polysiphonia senticulosa,rinse-checklist:taxon:24959d49da8fe730361955569bb7789c,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5277987,Polysiphonia senticulosa Harvey,Plantae,SPECIES,ACCEPTED,,,5277987
145954549,Muntiacus reevesi,rinse-checklist:taxon:eeb893e28c9d66d41d621e9ea3d50f76,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2440946,"Muntiacus reevesi (Ogilby, 1839)",Animalia,SPECIES,ACCEPTED,,,2440946
145954553,Acrochaetium savianum,rinse-checklist:taxon:276740c919f2e769029e28403148dda7,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2664107,Acrochaetium savianum (Meneghini) Nägeli,Plantae,SPECIES,ACCEPTED,,,2664107
145954556,Dama dama,rinse-checklist:taxon:d58089c200cc789684259736994da362,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5220136,"Dama dama (Linnaeus, 1758)",Animalia,SPECIES,ACCEPTED,,,5220136
145954567,Sarcophilus harrisi,rinse-checklist:taxon:eb66c9cabc2f1315749a68c48f11c114,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2435451,"Sarcophilus harrisii (Boitard, 1841)",Animalia,SPECIES,ACCEPTED,,,2435451
145954571,Meriones unguiculatus,rinse-checklist:taxon:c8800ad909a5264aaea7cc4aefe99964,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5219721,"Meriones unguiculatus (Milne-Edwards, 1867)",Animalia,SPECIES,ACCEPTED,,,5219721
145954574,Glis glis,rinse-checklist:taxon:c90764d29a283b017300d241a7f9b9c3,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5706486,"Glis glis (Linnaeus, 1766)",Animalia,SPECIES,ACCEPTED,,,5706486
145954587,Felis catus,rinse-checklist:taxon:8c4e1ba42f6d72c1286a2fab021834f6,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2435035,"Felis catus Linnaeus, 1758",Animalia,SPECIES,ACCEPTED,,,2435035
145954595,Cavia porcellus,rinse-checklist:taxon:9677be97f71e1126c02fe6c172a2854e,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5219702,"Cavia porcellus (Linnaeus, 1758)",Animalia,SPECIES,ACCEPTED,,,5219702
145954608,Gracilaria vermiculophylla,rinse-checklist:taxon:06bb599733b453713ead819e6a0a4759,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5278964,Gracilaria vermiculophylla (Ohmi) Papenfuss,Plantae,SPECIES,ACCEPTED,,,5278964
145954611,Sciurotamias davidianus,rinse-checklist:taxon:73e97e08a216aa592c2656fb905d275a,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2437229,"Sciurotamias davidianus (Milne-Edwards, 1867)",Animalia,SPECIES,ACCEPTED,,,2437229
145954614,Myocastor coypus,rinse-checklist:taxon:6f09bb782d12b9ca3784e046068e7a63,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,4264680,"Myocastor coypus (Molina, 1782)",Animalia,SPECIES,ACCEPTED,,,4264680
145954618,Alopex lagopus,rinse-checklist:taxon:6f02dbfb177932e44c46fb2733836c38,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2434532,"Alopex lagopus (Linnaeus, 1758)",Animalia,SPECIES,SYNONYM,5219303,"Vulpes lagopus (Linnaeus, 1758)",
145954623,Oryctolagus cuniculus,rinse-checklist:taxon:7c0e23ac0a0866187b125cc68f412448,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2436940,"Oryctolagus cuniculus (Linnaeus, 1758)",Animalia,SPECIES,ACCEPTED,,,2436940
145954630,Ovis aries,rinse-checklist:taxon:5f368447b21bc47586a3a7ea338424d7,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2441110,"Ovis aries Linnaeus, 1758",Animalia,SPECIES,ACCEPTED,,,2441110
145954638,Trachystemon orientalis,rinse-checklist:taxon:f9716cf2c863a7909eae30e09f98656e,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,4063372,Trachystemon orientalis (L.) G.Don,Plantae,SPECIES,DOUBTFUL,,,4063372
145954639,Mus musculus,rinse-checklist:taxon:5b63ff1e16b0385a01bb5e8576ebd8d1,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,7429082,"Mus musculus Linnaeus, 1758",Animalia,SPECIES,ACCEPTED,,,7429082
145954642,Facelis retusa,rinse-checklist:taxon:f927567803ca348dfa93db5ddeef6166,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,3110293,Facelis retusa (Lam.) Sch.Bip.,Plantae,SPECIES,ACCEPTED,,,3110293
145954646,Hemerocallis lilioasphodelus,rinse-checklist:taxon:f9ca28563d5e844e2929d7159eb2c7b9,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2781103,Hemerocallis lilioasphodelus L.,Plantae,SPECIES,ACCEPTED,,,2781103
145954647,Genetta genetta,rinse-checklist:taxon:4e75b74a17816be6553b14581220b825,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5219362,"Genetta genetta (Linnaeus, 1758)",Animalia,SPECIES,ACCEPTED,,,5219362
145954648,Hemerocallis fulva,rinse-checklist:taxon:ff5e0b9d9aea5e587469c061431fed94,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2781074,Hemerocallis fulva L.,Plantae,SPECIES,ACCEPTED,,,2781074
145954652,Triraphis mollis,rinse-checklist:taxon:f85953a0543e28f79de7429af961ab5e,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,7361239,Triraphis mollis R.Br.,Plantae,SPECIES,ACCEPTED,,,7361239
145954654,Chenopodium album x probstii,rinse-checklist:taxon:f8c3a012324b9de49a935c37380567b5,3f5e930b-52a5-461d-87ec-26ecd66f14a3,HYBRID,"RANK_INVALID,BACKBONE_MATCH_NONE",TRUE,,,,,,,,
145954655,Sciurus carolinensis,rinse-checklist:taxon:5320dafdd538a8c54e65285956d51815,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5219681,"Sciurus carolinensis Gmelin, 1788",Animalia,SPECIES,ACCEPTED,,,5219681
145954658,Pastinaca sativa urens,rinse-checklist:taxon:f8c5d61a109292f089ebdc66a7317760,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,7466434,Pastinaca sativa subsp. urens (Req. ex Godr.) Celak.,Plantae,SUBSPECIES,ACCEPTED,,,7466434
145954661,Hydrochaeris hydrochaeris,rinse-checklist:taxon:48146592cd6b6837a028409de26be91e,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2437610,"Hydrochaeris hydrochaeris (Linnaeus, 1766)",Animalia,SPECIES,SYNONYM,5786666,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",
145954664,Capra hircus,rinse-checklist:taxon:52befcc2d06faf4c5ef0549cd2fcc20c,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2441056,"Capra hircus Linnaeus, 1758",Animalia,SPECIES,ACCEPTED,,,2441056
145954665,Juglans regia,rinse-checklist:taxon:f8cbf66fbbc957040537ab75e979a52c,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,3054368,Juglans regia L.,Plantae,SPECIES,ACCEPTED,,,3054368
145954672,Tamias sibiricus,rinse-checklist:taxon:46607fb9a70ecbe4968e16186633ebe4,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2437450,"Tamias sibiricus (Laxmann, 1769)",Animalia,SPECIES,ACCEPTED,,,2437450
145954673,Poinsettia heterophylla,rinse-checklist:taxon:f6fde1ceeae28571cb0a42cf474f1b81,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,3064582,Poinsettia heterophylla (L.) Klotzsch & Garcke,Plantae,SPECIES,SYNONYM,3064495,Euphorbia heterophylla L.,
145954676,Castor canadensis,rinse-checklist:taxon:45dfe414d80e3488217127898f4b35e0,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2439838,"Castor canadensis Kuhl, 1820",Animalia,SPECIES,ACCEPTED,,,2439838
145954677,Stephanandra incisa,rinse-checklist:taxon:f6f50459f8f64271be9571302d6a20de,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2987953,Stephanandra incisa (Thunb.) Zabel,Plantae,SPECIES,SYNONYM,3853033,Neillia incisa (Thunb.) S.H.Oh,
145954680,Callosciurus prevostii,rinse-checklist:taxon:69c4a378c3107ec0503ebe6abcf7ef41,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2437397,"Callosciurus prevostii (Desmarest, 1822)",Animalia,SPECIES,ACCEPTED,,,2437397
