taxonKey,locationId,locality,country,status,temporal,establishmentMeans,source
140562938,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1999/2016,INTRODUCED,"Keppens M, Mienis HK (2004) A propos de la présence de Sinanodonta woodiana (Lea, 1834) en Belgique. Novapex Société 5: 78–81"
140562941,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1992/2016,INTRODUCED,"Swinnen F, Leynen M, Sablon R, Duvivier L, Vanmaele R (1998) The Asiatic clam Corbicula (Bivalvia: Corbiculidae) in Belgium. Biologie 68: 47–53"
140562942,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1992/2016,INTRODUCED,"Swinnen F, Leynen M, Sablon R, Duvivier L, Vanmaele R (1998) The Asiatic clam Corbicula (Bivalvia: Corbiculidae) in Belgium. Biologie 68: 47–53"
140562944,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1835/2016,INTRODUCED,"Nyst HJP (1835) Mollusques. Bulletin des Academies Royal des Sciences Lettres et Beaux Arts 2: 235–236 | Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
140562945,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2009/2016,INTRODUCED,"Sablon R, Vercauteren T, Jacobs P (2010b) De quaggamossel (Dreissena rostriformis bugensis (Andrusov, 1897)), een recent gevonden invasieve zoetwatermossel in Vlaanderen. ANTenne 4: 32–36"
140562946,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1834/2016,INTRODUCED,"Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
140562948,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1933/2016,INTRODUCED,"Vandepitte L, De Poorter D, Lescrauweart A-N, Fockedey N, Mees J (2012) Niet-inheemse soorten van het Belgisch deel van de Noordzee en aanpalende estuaria. VLIZ Special publication 59. Vlaams Instituut voor de Zee (VLIZ): Oostende België, 372 pp"
140562949,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1899/2016,INTRODUCED,Loppens K (1902) Petricola pholadiformis L. Annales de la Société Royale Zoologique et Malacologique de Belgique 37: 41–42
140562951,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2004/2016,INTRODUCED,"Verween A, Kerckhof F, Vincx M, Degraer S (2006) First European record of the invasive brackish water clam Rangia cuneata (G.W. Sowerby I, 1831) (Mollusca: Bivalvia). Aquatic Invasions 1: 198–203, https://doi.org/10.3391/ai.2006.1.4.1"
140562954,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1869/2016,INTRODUCED,"Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
140562956,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1937/2016,INTRODUCED,"Van Goethem JL, Sablon R (1986) Ferrissia wautieri (Mirolli, 1960), a freshwater limpet new to Belgium (Mollusca, Gastropoda, Ancylidae). Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen: Biologie 56:155–157"
140562957,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1998/2016,INTRODUCED,"Sablon R, Vercauteren T, Lammens S, Ghyselbrecht E (2010a) Freshwater Molluscs introduced in Belgium in the last two Decades – Abstracts of the World Congress of Malacology, Phuket, Thailand, 18–24 July 2010, p 353"
140562960,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1969/2016,INTRODUCED,Leloup E (1971) Recherches sur l'ostréiculture dans le bassin de chasse d'Ostende pendant l'année 1969. Bulletin de l'Institut Royal des Sciences Naturelles de Belgique = Mededelingen van het Koninklijk Belgisch Instituut voor Natuurwetenschappen 47(25): 1–16
140562964,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2005/2016,INTRODUCED,"Lock K, Van Wichelen J, Packet J, Simoens I, Van Looy K, Louette G, Warmoes T, Denys L (2007) Bepalen van het maximaal en het goed ecologisch potentieel, alsook de huidige toestand, voor een aantal Vlaamse (gewestelijke) waterlichamen die vergelijkbaar zijn met de categorie meren - Deel I. Report Institute of Nature Conservation 2007/51, Brussels"
140562965,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1999/2016,INTRODUCED,"Verslycke T, Janssen C, Lock K, Mees J (2000) First occurrence of the Pontocaspian invader Hemimysis anomala (Sars, 1907) in Belgium (Crustacea: Mysidacea). Belgian Journal of Zoology 130: 157–158"
140562968,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2000/2016,INTRODUCED,"Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39"
140562970,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2005/2016,INTRODUCED,"Soors J, Faasse M, Stevens M, Verbessem I, De Regge N, Van den Bergh E (2010) New crustacean invaders in the Schelde estuary (Belgium). Belgian Journal of Zoology 140: 3–10"
140562972,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1945/2016,INTRODUCED,Collection RBINS
140562973,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1998/2016,INTRODUCED,Boets et al. unpublished data
140562976,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1950/2016,INTRODUCED,"Leloup E, Lefevere S (1952) Sur la présence dans les eaux de la côte belge du cirripède, Elminius modestus Darwin, 1854, du copepode parasite, Mytilicola intestinalis Steuer, 1902, et du polychète, Mercierella enigmatica Fauvel, 1922. Mededelingen Koninklijk Belgisch Instituut voor Natuur Wetenschappen 28: 1–12"
140562978,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1997/2016,INTRODUCED,"Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033"
140562979,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1700/2016,INTRODUCED,"Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033"
140562980,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1952/2016,INTRODUCED,"Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033"
140562981,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1997/2016,INTRODUCED,"Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033"
140562982,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1998/2016,INTRODUCED,"Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033"
140562985,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1996/2016,INTRODUCED,"Faasse M, Van Moorsel G (2003) The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the western Scheldt estuary (The Netherlands). Aquatic Ecology 37: 13–22, https://doi.org/10.1023/A:1022120729031"
140562987,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1927/2016,INTRODUCED,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
140562989,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1992/2016,INTRODUCED,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
140562990,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2003/2016,INTRODUCED,"Boets P, Lock K, Goethals PLM (2010b) First record of Synurella ambulans (Müller 1846) (Amphipoda: Crangonictidae) in Belgium. Belgian Journal of Zoology 140: 244–245"
140562992,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1990/2016,INTRODUCED,"Vercauteren T, Sablon S, Wouters K (2006) Exotische ongewervelden in vijvers en grachten van het Provinciaal Groendomein ‘Prinsenpark’. In: Retie: een eerste bilan. In: Nieuwborg H, Rijvers T (eds), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2004–2005, pp 27–39"
140562993,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1993/2016,INTRODUCED,"Dewicke A (2002) Hyperbenthic communities of the North Sea. PhD Thesis. Universiteit Gent (RUG): Gent, 219 pp Dumortier M, De Bruyn L, Hens M, Peymen J, Schneiders A, Van Daele T, Van Reeth W (2007) Biodiversity Indicators 2007. State of Nature in Flanders (Belgium). Research Institute for Nature and Forest, Brussels, Belgium"
140562995,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1996/2016,INTRODUCED,"Faasse M, Van Moorsel G (2003) The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the western Scheldt estuary (The Netherlands). Aquatic Ecology 37: 13–22, https://doi.org/10.1023/A:1022120729031"
140562997,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1937/2016,INTRODUCED,Collection RBINS
140562998,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1997/2016,INTRODUCED,"Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39"
140562999,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1991/2016,INTRODUCED,"Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39"
140563000,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2009/2016,INTRODUCED,"Boets P, Lock K, Tempelman D, Van Haaren T, Platvoet D, Goethals PLM (2012c) First occurrence of the Ponto-Caspian amphipod Echinogammarus trichiatus (Martynov, 1932) (Crustacea: Gammaridae) in Belgium. BioInvasions Records 1: 115–120, https://doi.org/10.3391/bir.2012.1.2.06"
140563001,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1925/2016,INTRODUCED,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
140563003,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1998/2016,INTRODUCED,"Cook EJ, Jahnke M, Kerckhof F, Minchin D, Faasse M, Boos K, Ashton G (2007) European expansion of the introduced amphipod Caprella mutica Schurin, 1935. Aquatic Invasions 2: 411–421, https://doi.org/10.3391/ai.2007.2.4.11"
140563006,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1999/2016,INTRODUCED,"Boets P, Lock K, Goethals PLM (2011b) Shifts in the gammarid (Amphipoda) fauna of brackish polder waters in Flanders (Belgium). Journal of Crustacean Biology 31: 270–277, https://doi.org/10.1651/10-3357.1"
140563008,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1991/2016,INTRODUCED,"Van Damme P, Mees J, Maebe S (1992) Voorkomen van het Zuiderzeekrabbetje Rhithropanopeus harrisii (Gould, 1841) in de Westerschelde. De Strandvlo 12(1): 19–21"
140563010,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2003/2016,INTRODUCED,"Dumoulin E (2004) Snelle areaaluitbreiding van het penseelkrabbetje Hemigrapsus penicillatus (de Haan, 1835) langs de kusten van de Zuidelijke Bocht van de Noordzee, status van haar opmars in de Westerschelde en beschouwingen over de ecologie en het gedrag van de soort. De Strandvlo 24(1): 5-35"
140563011,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2006/2016,INTRODUCED,"Nuyttens F, Versele G, Loones MA (2006) De aanwezigheid van de penseelkrab Hemigrapsus takanoi en de blaasjeskrab Hemigrapsus sanguineus in NieuwpoortBad. De strandvlo 26: 114–115"
140563012,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1933/2016,INTRODUCED,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
140563014,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1895/2016,INTRODUCED,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
140563016,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1993/2016,INTRODUCED,"Van Damme P, Maes J (1993) De Blauwe Zwemkrab Callinectes sapidus Rathbun, 1896 in de Westerschelde (België). De Strandvlo 13(4): 120–121"
140563018,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2008/2016,INTRODUCED,"Boets P, Lock K, Cammaerts R, Plu D, Goethals PLM (2009) Occurrence of the invasive crayfish Procambarus clarkii (Girard, 1852) in Belgium (Crustacea: Cambaridae). Belgian Journal of Zoology 139: 173–175"
140563019,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1977/2016,INTRODUCED,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
140563021,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1986/2016,INTRODUCED,"Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p"
140563022,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1986/2016,INTRODUCED,"Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p"
140563025,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2007/2016,INTRODUCED,"van Haaren T, Soors J (2009) Sinelobus stanfordi (Richardson, 1901): a new crustacean invader in Europe. Aquatic Invasions 4: 703–711, https://doi.org/10.3391/ai.2009.4.4.20"
141117231,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1980/2018,INTRODUCED,
141117232,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1201/2018,INTRODUCED,
141117233,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2012/2018,INTRODUCED,
141117234,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2001/2018,INTRODUCED,
141117235,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1975/2018,INTRODUCED,
141117236,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1601/2018,INTRODUCED,
141117237,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1984/2018,INTRODUCED,
141117238,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1984/2018,INTRODUCED,
141117240,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1601/2018,INTRODUCED,
141117241,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2015/2018,INTRODUCED,
141117242,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1890/2018,INTRODUCED,
141117243,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1885/2018,INTRODUCED,
141117244,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1871/2018,INTRODUCED,
141117245,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1884/2018,INTRODUCED,
141117246,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2016/2018,INTRODUCED,
141117247,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2010/2018,INTRODUCED,
141117248,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1884/2018,INTRODUCED,
141117249,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1975/2018,INTRODUCED,
141117250,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2005/2018,INTRODUCED,
141117251,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1990/2018,INTRODUCED,
141117252,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1992/2018,INTRODUCED,
141117253,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1920/2018,INTRODUCED,
141117254,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1967/2018,INTRODUCED,
141117255,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2000/2018,INTRODUCED,
141264581,ISO_3166-2:BE,Belgium,BE,PRESENT,2018,INTRODUCED,
141264581,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2018,INTRODUCED,
141264583,ISO_3166-2:BE,Belgium,BE,PRESENT,1997/2018,INTRODUCED,
141264583,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,PRESENT,,INTRODUCED,
141264583,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,,INTRODUCED,
141264583,ISO_3166-2:BE-WAL,Walloon Region,BE,PRESENT,,INTRODUCED,
141264585,ISO_3166-2:BE,Belgium,BE,PRESENT,2006,INTRODUCED,
141264585,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2006,INTRODUCED,
141264587,ISO_3166-2:BE,Belgium,BE,PRESENT,2004,INTRODUCED,
141264587,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2004,INTRODUCED,
141264589,ISO_3166-2:BE,Belgium,BE,PRESENT,1953/2017,INTRODUCED,
141264589,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,PRESENT,,INTRODUCED,
141264589,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,,INTRODUCED,
141264589,ISO_3166-2:BE-WAL,Walloon Region,BE,PRESENT,,INTRODUCED,
141264591,ISO_3166-2:BE,Belgium,BE,PRESENT,1974/1981,INTRODUCED,
141264591,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1974/1981,INTRODUCED,
141264592,ISO_3166-2:BE,Belgium,BE,PRESENT,1893,INTRODUCED,
141264592,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1893,INTRODUCED,
141264594,ISO_3166-2:BE,Belgium,BE,PRESENT,1860/1863,INTRODUCED,
141264594,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1860/1863,INTRODUCED,
141264594,ISO_3166-2:BE-WAL,Walloon Region,BE,DOUBTFUL,,INTRODUCED,
141264596,ISO_3166-2:BE,Belgium,BE,PRESENT,2014,INTRODUCED,
141264596,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2014,INTRODUCED,
