taxonKey	scientificName	datasetKey	bb_key	bb_scientificName	bb_kingdom	bb_rank	bb_taxonomicStatus	bb_acceptedKey	bb_acceptedName	bb_acceptedKingdom	bb_acceptedRank	bb_acceptedTaxonomicStatus	verificationKey	remarks	verifiedBy	dateAdded	outdated
148438005	Trichorina tomentosa (Budde-Lund, 1893)	1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2											2204981	manual match: to that name		2018-12-20	TRUE
206107398	Trioza alacris	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	11068237	Trioza alacris (Flor, 1861)	Animalia	SPECIES	HOMOTYPIC_SYNONYM	7763534	Lauritrioza alacris (Flor, 1861)	Animalia	SPECIES	ACCEPTED	7763534	accept	Tim Adriaens	2023-09-15	FALSE
141265826	Trisetaria michelii (Savi) D. Heller	9ff7d317-609b-4c08-bd86-3bc404b77c42	4114539	Trisetaria michelii (Savi) D.Heller	Plantae	SPECIES	SYNONYM	4104665	Avellinia festucoides (Link) Valdés & H.Scholz	Plantae	SPECIES	ACCEPTED	4104665	accept	Tim Adriaens	2018-12-20	FALSE
141265789	Trisetaria panicea (Lam.) Maire	9ff7d317-609b-4c08-bd86-3bc404b77c42														2018-12-20	TRUE
141267247	Tristagma uniflorum (Lindl.) Traub	9ff7d317-609b-4c08-bd86-3bc404b77c42	2859569	Tristagma uniflorum (Lindl.) Traub	Plantae	SPECIES	SYNONYM	2859597	Ipheion uniflorum (Graham) Raf.	Plantae	SPECIES	ACCEPTED	2859597	accept	Quentin Groom	2018-12-20	FALSE
141265698	Triticum compactum Host	9ff7d317-609b-4c08-bd86-3bc404b77c42	2706414	Triticum compactum Host	Plantae	SPECIES	SYNONYM	12205713	Triticum aestivum subsp. compactum (Host) H.Messik.	Plantae	SUBSPECIES	ACCEPTED	12205713	accept	Tim Adriaens	2023-09-15	FALSE
206103377	Triticum dicoccon	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	6430794	Triticum dicoccon Schrank	Plantae	SPECIES	SYNONYM	8389446	Triticum turgidum subsp. dicoccum (Schrank ex Schübl.) Thell.	Plantae	SUBSPECIES	ACCEPTED	8389446	accept	Tim Adriaens	2023-09-15	FALSE
206102524	Triticum durum	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	2706389	Triticum durum Desf.	Plantae	SPECIES	SYNONYM	6313051	Triticum turgidum subsp. durum (Desf.) Husn.	Plantae	SUBSPECIES	ACCEPTED	6313051	accept	Tim Adriaens	2023-09-15	FALSE
141265581	Triticum durum Desf.	9ff7d317-609b-4c08-bd86-3bc404b77c42	2706389	Triticum durum Desf.	Plantae	SPECIES	SYNONYM	6313051	Triticum turgidum subsp. durum (Desf.) Husn.	Plantae	SUBSPECIES	ACCEPTED	6313051	accept	Tim Adriaens	2018-12-20	FALSE
141265673	Triticum polonicum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	2706421	Triticum polonicum L.	Plantae	SPECIES	SYNONYM	6313049	Triticum turgidum subsp. polonicum (L.) Thell.	Plantae	SUBSPECIES	ACCEPTED	6313049	accept	Tim Adriaens	2018-12-20	FALSE
