language,license,rightsHolder,bibliographicCitation,datasetID,institutionCode,datasetName,references,taxonID,acceptedNameUsageID,scientificName,acceptedNameUsage,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,taxonomicStatus,taxonRemarks
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031742: Dorypteryx domestica (Smithers & Courtenay, 1958) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031742,https://www.gbif.org/species/1031742,https://www.gbif.org/species/1031742,"Dorypteryx domestica (Smithers & Courtenay, 1958)","Dorypteryx domestica (Smithers & Courtenay, 1958)",Animalia,Arthropoda,Insecta,Psocodea,Psyllipsocidae,Dorypteryx,domestica,,SPECIES,"(Smithers & Courtenay, 1958)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031743: Dorypteryx pallida Aaron, 1883 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031743,https://www.gbif.org/species/1031743,https://www.gbif.org/species/1031743,"Dorypteryx pallida Aaron, 1883","Dorypteryx pallida Aaron, 1883",Animalia,Arthropoda,Insecta,Psocodea,Psyllipsocidae,Dorypteryx,pallida,,SPECIES,"Aaron, 1883",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1032262: Enderleinellus kumadai Kaneko, 1954 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1032262,https://www.gbif.org/species/1032262,https://www.gbif.org/species/1032262,"Enderleinellus kumadai Kaneko, 1954","Enderleinellus kumadai Kaneko, 1954",Animalia,Arthropoda,Insecta,Psocodea,Enderleinellidae,Enderleinellus,kumadai,,SPECIES,"Kaneko, 1954",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1032377: Hoplopleura erismata Ferris, 1921 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1032377,https://www.gbif.org/species/1032377,https://www.gbif.org/species/1032377,"Hoplopleura erismata Ferris, 1921","Hoplopleura erismata Ferris, 1921",Animalia,Arthropoda,Insecta,Psocodea,Hoplopleuridae,Hoplopleura,erismata,,SPECIES,"Ferris, 1921",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/10329298: Haplodrassus securifer Bosmans & Abrous, 2018 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/10329298,https://www.gbif.org/species/10329298,https://www.gbif.org/species/10329298,"Haplodrassus securifer Bosmans & Abrous, 2018","Haplodrassus securifer Bosmans & Abrous, 2018",Animalia,Arthropoda,,Araneae,Gnaphosidae,Haplodrassus,securifer,,SPECIES,"Bosmans & Abrous, 2018",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/10411852: Centaurea jacea x nigrescens in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/10411852,https://www.gbif.org/species/10411852,https://www.gbif.org/species/10411852,Centaurea jacea x nigrescens,Centaurea jacea x nigrescens,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,,SPECIES,,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1043717: Cryptolaemus montrouzieri Mulsant, 1853 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1043717,https://www.gbif.org/species/1043717,https://www.gbif.org/species/1043717,"Cryptolaemus montrouzieri Mulsant, 1853","Cryptolaemus montrouzieri Mulsant, 1853",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cryptolaemus,montrouzieri,,SPECIES,"Mulsant, 1853",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1043978: Stelidota geminata (Say, 1825) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1043978,https://www.gbif.org/species/1043978,https://www.gbif.org/species/1043978,"Stelidota geminata (Say, 1825)","Stelidota geminata (Say, 1825)",Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Stelidota,geminata,,SPECIES,"(Say, 1825)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1047536: Leptinotarsa decemlineata (Say, 1824) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1047536,https://www.gbif.org/species/1047536,https://www.gbif.org/species/1047536,"Leptinotarsa decemlineata (Say, 1824)","Leptinotarsa decemlineata (Say, 1824)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Leptinotarsa,decemlineata,,SPECIES,"(Say, 1824)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/10545407: Pelomedusa subrufa (Bonnaterre, 1789) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/10545407,https://www.gbif.org/species/10545407,https://www.gbif.org/species/10545407,"Pelomedusa subrufa (Bonnaterre, 1789)","Pelomedusa subrufa (Bonnaterre, 1789)",Animalia,Chordata,Reptilia,Testudines,Pelomedusidae,Pelomedusa,subrufa,,SPECIES,"(Bonnaterre, 1789)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
