taxonID,description,type,language,source
https://www.gbif.org/species/10966302,Eastern Europe,native range,en,"https://www.gbif.org/species/141265798: Digitaria sanguinalis (L.) Scop. subsp. sanguinalis in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10966302,Europe,native range,en,"https://www.gbif.org/species/141265798: Digitaria sanguinalis (L.) Scop. subsp. sanguinalis in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10986555,Africa,native range,en,"https://www.gbif.org/species/141265711: Thinopyrum ponticum (Podp.) M.Barkworth & D.R. Dewey in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10986555,Eastern Asia,native range,en,"https://www.gbif.org/species/141265711: Thinopyrum ponticum (Podp.) M.Barkworth & D.R. Dewey in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10986555,Eastern Europe,native range,en,"https://www.gbif.org/species/141265711: Thinopyrum ponticum (Podp.) M.Barkworth & D.R. Dewey in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10986555,Europe,native range,en,"https://www.gbif.org/species/141265711: Thinopyrum ponticum (Podp.) M.Barkworth & D.R. Dewey in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11007246,Europe,native range,en,"https://www.gbif.org/species/141266263: Clinopodium menthifolium (Host) Stace in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11055820,Americas,native range,en,"https://www.gbif.org/species/141267104: Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11064584,Eastern Asia,native range,en,"https://www.gbif.org/species/141266217: Perovskia abrotanoides Kar. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11064584,Eastern Europe,native range,en,"https://www.gbif.org/species/141266217: Perovskia abrotanoides Kar. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11136683,Africa,native range,en,"https://www.gbif.org/species/141265317: Pulicaria arabica (L.) Cass. subsp. arabica in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11136683,Eastern Asia,native range,en,"https://www.gbif.org/species/141265317: Pulicaria arabica (L.) Cass. subsp. arabica in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11136683,Eastern Europe,native range,en,"https://www.gbif.org/species/141265317: Pulicaria arabica (L.) Cass. subsp. arabica in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11162940,Eastern Asia,native range,en,"https://www.gbif.org/species/141265049: Sedum spurium Bieb. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11162940,Eastern Europe,native range,en,"https://www.gbif.org/species/141265049: Sedum spurium Bieb. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11205618,South America,native range,en,"https://www.gbif.org/species/213159069: Leptodeira ashmeadii (Hallowell, 1845) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c"
https://www.gbif.org/species/1152186,Eastern Asia,native range,en,"https://www.gbif.org/species/164301247: Callidiellum rufipenne Niisato, 2007 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2025). Ad hoc checklist of alien species in Belgium. Version 1.9. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
