verifiedKey,startYear,lastYear,sourceChecklist,sourceTaxa
1045875,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959218
1047039,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959616
1047341,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961404
1047525,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960548
1047536,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961023
1048497,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957994
1048809,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961219
1095652,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958582
1095716,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961478
1095721,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960703
1095783,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961677
1095784,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961679
1095847,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960355
1095855,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960361
1095863,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960363
1095899,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961575
1095953,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961656
1095973,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960381
1095984,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960389
1102093,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958779
1107218,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961450
1122893,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959117
1166198,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960075
1170177,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959409
1174299,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959447
1178487,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958484
1179354,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958958
1189261,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960460
1195129,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961912
1196132,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961962
1216929,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960528
1221824,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958499
1221916,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960117
1224467,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960159
1228061,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959489
1231274,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960832
1237429,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960792
1237442,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960790
1247584,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958798
1248228,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961458
1249740,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961282
1311477,2011,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438120
1313740,1998,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438149
1314773,1911,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438126
1316805,2005,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438141
1316908,2003,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438130
1319260,1980,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438145
1320777,1980,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438135
1321805,1911,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438133
1322674,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438132
1323402,1980,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438151
1325561,1980,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438143
1326634,1911,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438137
1377774,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958841
1417170,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961226
1417259,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958726
1419894,2016,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437976
1420197,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438103
1420612,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438097
1420765,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438102
1420769,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438101
1420791,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438100
1420795,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438099
1420828,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438096
1420829,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438098
1420846,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438104
1420857,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438095
1421095,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438055
1421105,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438054
1422818,2011,2012,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438108
1423286,2013,2013,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438110
1450317,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960603
1464288,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959078
1477054,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958398
1477289,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957970
1488930,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960194
1530823,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958626
1537581,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961510
1543344,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961341
1544340,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961506
1547108,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960456
1548900,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957747
1553384,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960747
1553410,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960745
1554705,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960216
1574948,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960568
1574951,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960570
1574962,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960566
1593181,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958101
1593767,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958053
1595142,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961710
1596749,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960506
1599075,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960008
1606124,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959503
1622796,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958466
1626042,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961797
1626096,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961799
1650106,2017,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437982
