checklist_key	checklist_scientificName	checklist_datasetKey	backbone_taxonKey	backbone_scientificName	backbone_species	backbone_genus	backbone_family	backbone_order	backbone_class	backbone_phylum	backbone_kingdom	backbone_rank	backbone_speciesKey	backbone_taxonomicStatus	backbone_acceptedKey	backbone_acceptedName	backbone_issues
140562954	Physella acuta	289244ee-e1c1-49aa-b2d7-d379391ce265	5189806	Physella acuta (Draparnaud, 1805)	Physa acuta	Physa	Physidae	Hygrophila	Gastropoda	Mollusca	Animalia	SPECIES	2291118	SYNONYM	2291118	Physa acuta Draparnaud, 1805	NULL
140562956	Ferrissia fragilis	289244ee-e1c1-49aa-b2d7-d379391ce265	2291152	Ferrissia fragilis (Tryon, 1863)	Ferrissia californica	Ferrissia	Planorbidae	Hygrophila	Gastropoda	Mollusca	Animalia	SPECIES	9520065	SYNONYM	9520065	Ferrissia californica (Rowell, 1863)	ORIGINAL_NAME_DERIVED
140562957	Menetus dilatatus	289244ee-e1c1-49aa-b2d7-d379391ce265	5189713	Menetus dilatatus (Gould, 1841)	Menetus dilatatus	Menetus	Planorbidae	Hygrophila	Gastropoda	Mollusca	Animalia	SPECIES	5189713	ACCEPTED			NULL
140562960	Crassostrea gigas	289244ee-e1c1-49aa-b2d7-d379391ce265	2286069	Crassostrea gigas (Thunberg, 1793)	Magallana gigas	Magallana	Ostreidae	Ostreida	Bivalvia	Mollusca	Animalia	SPECIES	7820753	SYNONYM	7820753	Magallana gigas (Thunberg, 1793)	NULL
140562964	Limnomysis benedeni	289244ee-e1c1-49aa-b2d7-d379391ce265	2220347	Limnomysis benedeni Czerniavsky, 1882	Limnomysis benedeni	Limnomysis	Mysidae	Mysida	Malacostraca	Arthropoda	Animalia	SPECIES	2220347	ACCEPTED			NULL
140562965	Hemimysis anomala	289244ee-e1c1-49aa-b2d7-d379391ce265	2220312	Hemimysis anomala G.O.Sars, 1907	Hemimysis anomala	Hemimysis	Mysidae	Mysida	Malacostraca	Arthropoda	Animalia	SPECIES	2220312	ACCEPTED			NULL
140562968	Jaera istri	289244ee-e1c1-49aa-b2d7-d379391ce265	5177089	Jaera istri Veuille, 1979	Jaera istri	Jaera	Janiridae	Isopoda	Malacostraca	Arthropoda	Animalia	SPECIES	5177089	ACCEPTED			NULL
140562970	Synidotea laticauda	289244ee-e1c1-49aa-b2d7-d379391ce265	2204831	Synidotea laticauda Benedict, 1897	Synidotea laticauda	Synidotea	Idoteidae	Isopoda	Malacostraca	Arthropoda	Animalia	SPECIES	2204831	ACCEPTED			NULL
140562972	Proasellus meridianus	289244ee-e1c1-49aa-b2d7-d379391ce265	2206086	Proasellus meridianus (Racovitza, 1919)	Proasellus meridianus	Proasellus	Asellidae	Isopoda	Malacostraca	Arthropoda	Animalia	SPECIES	2206086	DOUBTFUL			NULL
140562973	Proasellus coxalis	289244ee-e1c1-49aa-b2d7-d379391ce265	2205951	Proasellus coxalis (Dollfus, 1892)	Proasellus coxalis	Proasellus	Asellidae	Isopoda	Malacostraca	Arthropoda	Animalia	SPECIES	2205951	ACCEPTED			NULL
140562976	Austrominius modestus	289244ee-e1c1-49aa-b2d7-d379391ce265	2115769	Austrominius modestus (Darwin, 1854)	Austrominius modestus	Austrominius	Austrobalanidae	Sessilia	Maxillopoda	Arthropoda	Animalia	SPECIES	2115769	ACCEPTED			NULL
140562978	Amphibalanus reticulatus	289244ee-e1c1-49aa-b2d7-d379391ce265	6128436	Amphibalanus reticulatus Utinomi, 1967	Amphibalanus reticulatus	Amphibalanus	Balanidae	Sessilia	Maxillopoda	Arthropoda	Animalia	SPECIES	6128436	ACCEPTED			PUBLISHED_BEFORE_GENUS
140562979	Amphibalanus improvisus	289244ee-e1c1-49aa-b2d7-d379391ce265	6467647	Amphibalanus improvisus Darwin, 1854	Amphibalanus improvisus	Amphibalanus	Balanidae	Sessilia	Maxillopoda	Arthropoda	Animalia	SPECIES	6467647	ACCEPTED			PUBLISHED_BEFORE_GENUS
140562980	Amphibalanus amphitrite	289244ee-e1c1-49aa-b2d7-d379391ce265	4805564	Amphibalanus amphitrite Darwin, 1854	Amphibalanus amphitrite	Amphibalanus	Balanidae	Sessilia	Maxillopoda	Arthropoda	Animalia	SPECIES	4805564	ACCEPTED			PUBLISHED_BEFORE_GENUS
140562981	Megabalanus coccopoma	289244ee-e1c1-49aa-b2d7-d379391ce265	5166489	Megabalanus coccopoma (Darwin, 1854)	Megabalanus coccopoma	Megabalanus	Balanidae	Sessilia	Maxillopoda	Arthropoda	Animalia	SPECIES	5166489	ACCEPTED			ORIGINAL_NAME_DERIVED
140562982	Megabalanus tintinnabulum	289244ee-e1c1-49aa-b2d7-d379391ce265	5166487	Megabalanus tintinnabulum (Linnaeus, 1758)	Balanus tintinnabulum	Balanus	Balanidae	Sessilia	Maxillopoda	Arthropoda	Animalia	SPECIES	2115692	HOMOTYPIC_SYNONYM	2115692	Balanus tintinnabulum (Linnaeus, 1758)	CONFLICTING_BASIONYM_COMBINATION
140562985	Melita nitida	289244ee-e1c1-49aa-b2d7-d379391ce265	2215949	Melita nitida S.I.Smith, 1873	Melita nitida	Melita	Melitidae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	2215949	ACCEPTED			NULL
