checklist_scientificName	backbone_scientificName	backbone_taxonKey	backbone_kingdom	backbone_taxonomicStatus	backbone_acceptedName	backbone_acceptedKey	backbone_issues	verification_key	date_added	checklists	remarks
Alternanthera denticulata R. Brown	Alternanthera denticulata R.Br.	7655198	Plantae	SYNONYM	Alternanthera sessilis (L.) DC.	3084939	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Stachys macrantha (C. Koch) Stearn	Stachys macrantha (K.Koch) Stearn	3881468	Plantae	SYNONYM	Betonica macrantha K.Koch	3905825	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Caryopteris x clandonensis N.W. Simmonds ex Rehder	Caryopteris ×clandonensis N.W.Simmonds ex Rehder	9401236	Plantae	SYNONYM	Caryopteris incana x mongholica	9784442			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Clinopodium nepeta Kuntze subsp. glandulosum (Req.) Govaerts	Clinopodium nepeta subsp. glandulosum (Req.) Govaerts	3886262	Plantae	SYNONYM	Clinopodium nepeta subsp. spruneri (Boiss.) Bartolucci & F.Conti	7757431			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Mentha spicata L. subsp. glabrata (Lej. & Court.) Lebeau	Mentha spicata subsp. glabrata (Lej. & Courtois) Lebeau	3895556	Plantae	SYNONYM	Mentha spicata subsp. spicata	7308335	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Clinopodium grandiflorum (L.) O. Kuntze	Clinopodium grandiflorum (L.) Kuntze	7437438	Plantae	SYNONYM	Drymosiphon grandiflorus (L.) Melnikov	9269392			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Thymus pannonicus All.	Thymus pannonicus All.	5341447	Plantae	SYNONYM	Thymus pulegioides subsp. pannonicus (All.) Kerguélen	5605749			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Salvia lavandulifolia Vahl subsp. gallica Lippert	Salvia lavandulifolia subsp. gallica W.Lippert	3898065	Plantae	SYNONYM	Salvia officinalis subsp. gallica (W.Lippert) Reales, D.Rivera & Obón	6411218			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Mentha x smithiana R.A. Graham	Mentha smithiana R.A.Graham	2927185	Plantae	SYNONYM	Mentha wirtgeniana F.W.Schultz	3893979			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rosmarinus officinalis L.	Rosmarinus officinalis L.	2926634	Plantae	SYNONYM	Salvia rosmarinus Schleiden	3889108			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Acer palmatum Thunb.	Acer palmatum Thunb.	3189882	Plantae	SYNONYM	Acer palmatum C.P.Thunberg ex A.Murray	7912328	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Anogramma chaerophylla (Desv.) Link	Anogramma chaerophylla (Desv.) Link	5566061	Plantae	SYNONYM	Gastoniella chaerophylla (Desv.) Li Bing Zhang & Liang Zhang	9662775			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Adiantum raddianum C. Presl	Adiantum raddianum C.Presl	2651826	Plantae	SYNONYM	Doryopteris raddiana (Pr.) F	7335777	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amsinckia retrorsa Suksd.	Amsinckia retrorsa Suksd.	4067952	Plantae	SYNONYM	Amsinckia menziesii (Lehm.) A.Nels.Macbr.	2925870			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amsinckia micrantha Suksd.	Amsinckia micrantha Suksdorf	4058401	Plantae	SYNONYM	Amsinckia menziesii (Lehm.) A.Nels.Macbr.	2925870			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Omphalodes linifolia (L.) Moench	Omphalodes linifolia (L.) Moench	2926050	Plantae	SYNONYM	Iberodes linifolia (L.) Serrano, R.Carbajal & S.Ortiz	9629001	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Nemophila menziesii Hook. & Arnott var. integrifolia Parish	Nemophila menziesii var. integrifolia Parish.	3611735	Plantae	SYNONYM	Nemophila menziesii var. integrifolia (Parish) Brand	7536406	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Anchusa ovata Lehm.	Anchusa ovata Lehm.	5662067	Plantae	SYNONYM	Lycopsis arvensis subsp. orientalis (L.) Kuzn.	8167990			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aconogonon campanulatum (Hook. f.) H. Hara	Aconogonon campanulatum (Hook.fil.) Hara	6391389	Plantae	SYNONYM	Koenigia campanulata (Hook.f.) T.M.Schust. & Reveal	9018536	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Reynoutria compacta (Hook. f.) Nakai	Reynoutria compacta (Hook.fil.) Nakai	6709291	Plantae	SYNONYM	Reynoutria japonica Houtt.	2889173	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rumex fueginus  Phil.	Rumex fueginus R.Phil.	2888982	Plantae	SYNONYM	Rumex persicarioides var. fueginus (Phil.) A.Haines	7350964			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
x Reyllopia conollyana (J.P. Bailey) Galasso	×Reyllopia conollyana (J.P.Bailey) Galasso	4038524	Plantae	SYNONYM	Fallopia baldschuanica x japonica	9758813	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aconogonon x fennicum Reiersen	Aconogonon fennicum Reiersen	4035232	Plantae	SYNONYM	Koenigia fennica (Reiersen) T.M.Schust. & Reveal	8773480			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Emex spinosa (L.) Campd.	Emex spinosa (L.) Campd.	2888869	Plantae	SYNONYM	Rumex spinosus L.	2888870			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rubrivena polystachya (Wall. ex Meisn.) M. Král	Rubrivena polystachya (Wall.) M.Král	4037343	Plantae	SYNONYM	Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal	8848208			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Emex australis Steinh.	Emex australis Steinh.	2888871	Plantae	SYNONYM	Rumex hypogaeus T.M.Schust. & Reveal	8909872			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aconogonon divaricatum (L.) Nakai	Aconogonon divaricatum (L.) Nakai	7291572	Plantae	SYNONYM	Koenigia divaricata (L.) T.M.Schust. & Reveal	8720751			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erodium moschatum (L.) L'Hérit. var. moschatum	Erodium moschatum var. moschatum	7258888	Plantae	SYNONYM	Erodium moschatum (Burm.f.) L'Hér.	9419993			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Monsonia angustifolia E. Mey. ex A. Rich.	Monsonia angustifolia E.Mey. ex A.Rich.	7926816	Plantae	SYNONYM	Monsonia angustifolia E.Mey.	3828021	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Geranium x magnificum Hyl.	Geranium ×magnificum Hyl.	2889980	Plantae	SYNONYM	Geranium ibericum x platypetalum	9742114			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Geranium x cantabrigiense Yeo	Geranium ×cantabrigiense Yeo	2890995	Plantae	SYNONYM	Geranium dalmaticum x macrorrhizum	9794106			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erodium cygnorum Nees subsp. glandulosum Carol.	Erodium cygnorum subsp. glandulosum Carolin	3827934	Plantae	SYNONYM	Erodium carolinianum Aldasoro, C.Aedo, C.Navarro & L.Sáez	3828342			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malva preissiana Miq.	Malva preissiana Miq.	3941038	Plantae	SYNONYM	Malva australiana M.F.Ray	3935002			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malva setigera F.K. Schimp. & Spenn.	Malva setigera K.F.Schimp. & Spenn.	3940638	Plantae	SYNONYM	Althaea hirsuta L.	3152521			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Abutilon x suntense C.D. Brickell	Abutilon ×suntense C.D.Brickell	3935725	Plantae	SYNONYM	Corynabutilon ×suntense (C.D.Brickell) Fryxell	3937506			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malva pseudolavatera Webb & Berthelot	Malva pseudolavatera Webb & Berthel.	3940998	Plantae	SYNONYM	Malva multiflora (Cav.) Soldano, Banfi & Galasso	3933415			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malva trimestris (L.) Salisb. var. brachypoda (Pérez Lara) Verloove & Lambinon	Malva trimestris var. brachypoda (Pérez Lara) Verloove & Lambinon	8300984	Plantae	SYNONYM	Malva trimestris Salisb.	3940326	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sidalcea oregana (Nutt.) A. Gray	Sidalcea oregana (Nutt. ex Torr. & A.Gray) A.Gray	9733080	Plantae	SYNONYM	Sidalcea malviflora subsp. malviflora	7226545	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Oenothera depressa E. Greene	Oenothera depressa Greene	6428493	Plantae	SYNONYM	Oenothera villosa subsp. villosa	6427623	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ludwigia hexapetala (Hook. & Arnott) Zardini, Gu & Raven	Ludwigia hexapetala (Hook. & Arn.) E.M.Zardini, H.Y.Gu & P.H.Raven	5421040	Plantae	SYNONYM	Ludwigia grandiflora var. hexapetala (Hook. & Arn.) D.B.Ward	8309092	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Oenothera rubricalyx R.R. Gates	Oenothera rubricalyx R.R.Gates	3665866	Plantae	SYNONYM	Oenothera perangusta R.R.Gates	7322738			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Oenothera cruciata Nutt. ex G. Don	Oenothera cruciata Nutt. ex G.Don	7926755	Plantae	SYNONYM	Oenothera parviflora L.	8994150			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chamaenerion dodonaei (Vill.) Schur	Chamaenerion dodonaei (Vill.) Schur	7742704	Plantae	SYNONYM	Epilobium dodonaei Vill.	3666323	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Clarkia elegans Douglas	Clarkia elegans Dougl.	5420958	Plantae	SYNONYM	Clarkia unguiculata Lindl.	5420957			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Oenothera elata Humb., Bonpl. & Kunth	Oenothera elata Kunth	3188829	Plantae	SYNONYM	Oenothera elata subsp. elata	7223881	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Larix x marschlinsii Coaz	Larix ×marschlinsii Coaz	4938682	Plantae	SYNONYM	Larix decidua x kaempferi	9762894			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Galium parisiense L. var. leiocarpum Tausch	Galium parisiense var. leiocarpum Tausch	2914818	Plantae	SYNONYM	Galium parisiense L.	2913169			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Phuopsis stylosa (Trin.) Benth. & Hook. f. ex B.D. Jackson	Phuopsis stylosa (Trin.) Hook.f. ex B.D.Jacks.	2903387	Plantae	SYNONYM	Phuopsis stylosa (Trin.) G.Nicholson	7671397	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cucumis myriocarpus Naudin	Cucumis myriocarpus Naud.	2874575	Plantae	SYNONYM	Cucumis myriocarpus subsp. myriocarpus	3624993			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bartsia trixago L.	Bartsia trixago L.	3171813	Plantae	SYNONYM	Bellardia trixago All.	5414976			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Parentucellia viscosa (L.) Caruel	Parentucellia viscosa (L.) Caruel	3171818	Plantae	SYNONYM	Bellardia viscosa Fisch. & C.A.Mey.	7733140			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Salix babylonica L. var. pekinensis A. Henry	Salix babylonica var. pekinensis Henry	9306497	Plantae	SYNONYM	Salix babylonica L.	5372639			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Salix dasyclados Wimm.	Salix dasyclados Wimmer	5583837	Plantae	SYNONYM	Salix holosericea Willd.	7895688			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Populus trichocarpa Torr. & A. Gray ex Hook.	Populus trichocarpa Torr. & Gray ex Hooker	6362904	Plantae	SYNONYM	Populus balsamifera subsp. trichocarpa (Torr. & A.Gray) Brayshaw	3806052			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Populus x generosa A. Henry	Populus generosa A.Henry	3040245	Plantae	SYNONYM	Populus jackii Sarg.	3040241			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Scorpiurus muricatus L. subsp. sulcatus (L.) Thell.	Scorpiurus muricatus subsp. sulcatus (L.) Thell.	5358307	Plantae	SYNONYM	Scorpiurus muricatus L.	5358302			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Medicago monantha (C.A. Mey.) Trautv. subsp. incisa (Benth.) Verloove & Lambinon	Medicago monantha subsp. incisa (Benth.) Verloove & Lambinon	3966132	Plantae	SYNONYM	Medicago monantha Trautv.	2965226	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Medicago x varia Martyn	Medicago varia Martyn	2965331	Plantae	SYNONYM	Medicago sativa subsp. varia (Martyn) Arcang.	8316569			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Scorpiurus muricatus L. subsp. muricatus	Scorpiurus muricatus subsp. muricatus	9388245	Plantae	SYNONYM	Scorpiurus muricatus L.	5358302			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cytisus sessilifolius L.	Cytisus sessilifolius L.	5347864	Plantae	SYNONYM	Cytisophyllum sessilifolium O.Lang	2940408			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Melilotus officinalis Lam.	Melilotus officinalis Lam.	8193111	Plantae	SYNONYM	Melilotus officinalis Pall.	2971024	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Biserrula pelecinus L.	Biserrula pelecinus L.	2938473	Plantae	SYNONYM	Astragalus pelecinus subsp. pelecinus	7068263			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sesbania exaltata (Rafin.) Rydberg ex A.W. Hill	Sesbania exaltata (Raf.) Rydb. ex A.W.Hill	7394001	Plantae	SYNONYM	Sesbania herbacea (Mill.) McVaugh	2970585	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Desmanthus illinoensis (Michaux) Mc. Millan ex Robinson & Fernald	Desmanthus illinoensis (Michx.) Robinson & Fernald	7484581	Plantae	SYNONYM	Desmanthus illinoensis MacMill.	5360112	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sulla coronaria (L.) Med.	Sulla coronaria (L.) Medik., 1789	8081232	Plantae	SYNONYM	Hedysarum coronarium L.	2960919	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Scorpiurus muricatus L. subsp. subvillosus (L.) Thell.	Scorpiurus muricatus subsp. subvillosus (L.) Thell.	8082844	Plantae	SYNONYM	Scorpiurus muricatus L.	5358302	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Medicago monantha (C.A. Mey.) Trautv. subsp. noeana (Boiss.) Greuter & Burdet	Medicago monantha subsp. noeana (Boiss.) Greuter & Burdet	3966127	Plantae	SYNONYM	Medicago monantha Trautv.	2965226	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lathyrus cicera L.	Lathyrus cicera L.	5356481	Plantae	SYNONYM	Astragalus cicer L.	5343253	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Vicia dalmatica A. Kerner	Vicia dalmatica A.Kern.	3973636	Plantae	SYNONYM	Vicia tenuifolia subsp. dalmatica (A.Kern.) Greuter	3971572			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Verbascum x angulosum Teyber	Verbascum ×angulosum Teyber	9629891	Plantae	SYNONYM	Verbascum nigrum x speciosum	9783082			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chaenostoma cordatum (Thunb.) Benth.	Chaenostoma cordatum Benth.	5561475	Plantae	SYNONYM	Sutera cordata Kuntze	3728734			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Alonsoa intermedia Lodd.	Alonsoa intermedia Lodd.	3724078	Plantae	SYNONYM	Alonsoa linearis Ruiz & Pav.	7331548			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aconitum x stoerkianum Reichenb.	Aconitum stoerkianum Rchb.	3920712	Plantae	SYNONYM	Aconitum nasutum subsp. paniculatum (Arcangeli) Greuter & Burdet	9159238			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Anemone hepatica L.	Anemone hepatica L.	6375391	Plantae	SYNONYM	Hepatica nobilis Schreb.	5371699			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Delphinium orientale J. Gay	Delphinium orientale Gay	3033829	Plantae	SYNONYM	Consolida orientalis (J.Gay) R.Schrödinger	3033828			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aconitum napellus  L. subsp. napellus var. giganteum (Dum. ex Thielens) J. Duvigneaud	Aconitum napellus var. giganteum (Dumort. ex Thielens) J.Duvigneaud	3922770	Plantae	SYNONYM	Aconitum napellus subsp. lusitanicum Rouy	7707872	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Delphinium ajacis L.	Delphinium ajacis L.	3033833	Plantae	SYNONYM	Consolida ajacis (L.) Schur	3033830			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Calandrinia elegans Spach	Calandrinia elegans Spach	7389949	Plantae	SYNONYM	Calandrinia ciliata DC.	3084693			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crocus x stellaris Haw.	Crocus stellaris Haw.	3586380	Plantae	SYNONYM	Crocus luteus Lam.	2747750			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Physalis angulata L. var. angulata	Physalis angulata var. angulata	7300041	Plantae	SYNONYM	Physalis angulata L.	5341792			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum rostratum Dun.	Solanum rostratum Dun.	2930922	Plantae	SYNONYM	Solanum angustifolium Mill.	2929800			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Nicotiana x sanderae Sander ex Will. Watson	Nicotiana ×sanderae W.Watson	3799170	Plantae	SYNONYM	Nicotiana alata x forgetiana	9652942			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum chenopodioides Lam.	Solanum chenopodioides Lam.	2929710	Plantae	SYNONYM	Solanum nigrum L.	9150405	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Petunia parviflora Juss.	Petunia parviflora Juss.	2928906	Plantae	SYNONYM	Calibrachoa parviflora (Jussieu) D'Arcy	2928905			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Physalis alkekengi L. var. franchetii (Masters) Makino	Physalis alkekengi var. franchetii (Masters) Makino	5829065	Plantae	SYNONYM	Alkekengi officinarum var. franchetii (Masters)	9537212	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum nodiflorum Jacq. ?	Solanum nodiflorum Jacq.	2930248	Plantae	SYNONYM	Solanum americanum subsp. americanum	9594551			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum triflorum Nutt. var. ponticum (Prodan) Borza	Solanum triflorum var. ponticum (Prodán) Borza	2931238	Plantae	SYNONYM	Solanum triflorum Nutt.	2931237			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum nigrum L. subsp. schultesii (Opiz) Wessely	Solanum nigrum subsp. schultesii (Opiz) Wessely	2932877	Plantae	SYNONYM	Solanum decipiens Opiz	2932872	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Physalis minima L.	Physalis minima L.	5341772	Plantae	SYNONYM	Physalis lagascae Roem. & Schult.	5341775			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Physalis angulata L. var. pendula (Rydberg) Waterfall	Physalis angulata var. pendula (Rydb.) Waterf.	5341795	Plantae	SYNONYM	Physalis angulata L.	5341792	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Juncus tenuis Willd. subsp. dichotomus (Elliott) Verloove & Lambinon	Juncus tenuis subsp. dichotomus (Elliott) Verloove & Lambinon	8143288	Plantae	SYNONYM	Juncus dichotomus Elliott	2701120	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Juncus tenuis Willd. subsp. anthelatus (Wiegand) Verloove & Lambinon	Juncus tenuis subsp. anthelatus (Wiegand) Verloove & Lambinon	7841979	Plantae	SYNONYM	Juncus anthelatus (Wiegand) R.E.Brooks	2702058	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Juncus tenuis Willd. subsp. dudleyi (Wiegand) P. Fourn.	Juncus tenuis subsp. dudleyi (Wiegand) P.Fourn.	2701833	Plantae	SYNONYM	Juncus dudleyi Wiegand	2701831	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Honorius nutans (L.) Gray	Honorius nutans (L.) Gray	2773290	Plantae	SYNONYM	Ornithogalum nutans L.	2773281	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Loncomelos brevistylus (Wolfner ) Dostál	Loncomelos brevistylum (Wolfner) Dostál	2772890	Plantae	SYNONYM	Ornithogalum pyramidale L.	2772885			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chionodoxa luciliae Boiss.	Chionodoxa luciliae Boiss.	2767272	Plantae	SYNONYM	Scilla luciliae (Boiss.) Speta	2767271			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Loncomelos narbonense (L.) Raf.	Loncomelos narbonense (L.) Raf.	2772978	Plantae	SYNONYM	Ornithogalum narbonense L.	2772958	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Scilla siberica Haw.	Scilla siberica Haw.	2767328	Plantae	SYNONYM	Scilla siberica Andrews	8080743	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chionodoxa sardensis Whittall ex Barr & Sugd.	Chionodoxa sardensis Whittall ex Barr & Sayden	2767230	Plantae	SYNONYM	Scilla sardensis (Barr & Sugden) Speta	2767229			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Euphorbia serpens Kunth subsp. fissistipula (Thell.) Verloove & Lambinon	Euphorbia serpens subsp. fissistipula (Thell.) Verloove & Lambinon	8273282	Plantae	SYNONYM	Euphorbia serpens Kunth	3064221	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Euphorbia brittingeri Opiz ex Samp.	Euphorbia brittingeri Opiz ex Samp.	3069065	Plantae	SYNONYM	Euphorbia verrucosa L.	3069053			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Euphorbia glomerifera (Millsp.) L.C. Wheeler	Euphorbia glomerifera (Millsp.) L.C.Wheeler	3066330	Plantae	SYNONYM	Euphorbia hypericifolia L.	3066321			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Scabiosa atropurpurea L.	Scabiosa atropurpurea L.	2888805	Plantae	SYNONYM	Sixalix atropurpurea subsp. atropurpurea	7301011			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Symphoricarpos x doorenbosii Krüssm.	Symphoricarpos ×doorenbosii Krüssm.	8212772	Plantae	SYNONYM	Symphoricarpos albus var. laevigatus x microphyllus x orbiculatus	9761414			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dipsacus strigosus Willd. ex Roem. & Schult.	Dipsacus strigosus Willd. ex Roem. & Schult.	4104284	Plantae	SYNONYM	Dipsacus strigosus Willd.	7443846	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cephalaria syriaca (L.) Roem. & Schult.	Cephalaria syriaca (L.) Roem. & Schult.	2888796	Plantae	SYNONYM	Cephalaria syriaca Schrad.	8355821	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cephalaria alpina (L.) Roem. & Schult.	Cephalaria alpina (L.) Roem. & Schult.	2888799	Plantae	SYNONYM	Cephalaria alpina Schrad.	8259811	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lonicera chrysantha Turcz. ex Ledeb.	Lonicera chrysantha Turcz. ex Ledeb.	5334246	Plantae	SYNONYM	Lonicera chrysantha Turcz.	8242349	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Weigela floribunda (Siebold & Zucc.) K. Koch	Weigela floribunda (Siebold & Zucc.) K.Koch	2888732	Plantae	SYNONYM	Weigela floribunda C.A.Mey.	8011733	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lonicera nitida Wils.	Lonicera nitida E.H.Wilson	5599249	Plantae	SYNONYM	Lonicera pileata var. yunnanensis (Franch.) Bernd Schulz	7764700			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Meconopsis cambrica (L.) Vig.	Meconopsis cambrica (L.) Vig.	3601091	Plantae	SYNONYM	Papaver cambricum L.	3602683	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
