checklist_scientificName	backbone_scientificName	backbone_taxonKey	backbone_kingdom	backbone_taxonomicStatus	backbone_acceptedName	backbone_acceptedKey	backbone_issues	verification_key	date_added	checklists	remarks
Mazus reptans N.E. Brown	Mazus reptans N.E.Br.	3171303	Plantae	SYNONYM	Mazus miquelii Makino	3171302			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ledum palustre L.	Ledum palustre L.	2882977	Plantae	SYNONYM	Rhododendron tomentosum subsp. tomentosum	6400570			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cuscuta gronovii Willd. ex Schult.	Cuscuta gronovii Willd. ex Roem. & Schult.	2927492	Plantae	SYNONYM	Cuscuta gronovii Willd.	7694392	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cuscuta campestris Yunck.	Cuscuta campestris Yunck.	3610757	Plantae	SYNONYM	Cuscuta pentagona Engelm.	2927490			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Convolvulus silvaticus Kit.	Convolvulus silvaticus Kit.	3678060	Plantae	SYNONYM	Calystegia silvatica subsp. silvatica	7225712			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ipomoea hederacea (L.) Jacq. var. integriuscula A. Gray	Ipomoea hederacea var. integriuscula A.Gray	2928622	Plantae	SYNONYM	Ipomoea hederacea Jacq.	2928538			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Convolvulus dubius J. Gilbert	Convolvulus dubius J.L.Gilbert	3679953	Plantae	SYNONYM	Calystegia pulchra Brummitt & Heywood	3678949			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ipomoea coccinea L.	Ipomoea coccinea L.	2928560	Plantae	SYNONYM	Ipomoea rubriflora O'Donell	7519113			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Typhonium venosum (Ait.) Hett. & Boyce	Typhonium venosum (Dryand. ex Aiton) Hett. & P.C.Boyce	2869586	Plantae	SYNONYM	Sauromatum venosum (Aiton) Kunth	2869597			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Isotrema macrophyllum (Lam.) C. Reed	Isotrema macrophyllum (Lam.) C.F.Reed	2873995	Plantae	SYNONYM	Aristolochia macrophylla Lam.	2873994	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bergenia cordifolia (Haw.) Sternb.	Bergenia cordifolia (Haw.) Sternb.	5567698	Plantae	SYNONYM	Bergenia crassifolia Fritsch	5567694			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bergenia x schmidtii (Regel) Silva-Tar.	Bergenia schmidtii (Regel) Silva Tarouca	5567657	Plantae	SYNONYM	Bergenia ciliata (Haw.) Sternb.	8330218	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Tulipa tarda Stapf	Tulipa tarda Stapf	5299589	Plantae	SYNONYM	Tulipa urumiensis Stapf	5299590			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum sediforme (Jacq.) Pau i	Sedum sediforme (Jacq.) Pau	5688347	Plantae	SYNONYM	Petrosedum sediforme (Jacq.) Grulich	4201784	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Jovibarba sobolifera (Sims) Opiz	Jovibarba sobolifera (J.Sims) Opiz	8990928	Plantae	SYNONYM	Sempervivum globiferum subsp. globiferum	7334391	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
