taxonKey,marine,freshwater,terrestrial
141265031,FALSE,FALSE,TRUE
141265033,FALSE,FALSE,TRUE
141265035,FALSE,FALSE,TRUE
141265036,FALSE,FALSE,TRUE
141265037,FALSE,FALSE,TRUE
141265038,FALSE,FALSE,TRUE
141265039,FALSE,FALSE,TRUE
141265040,FALSE,FALSE,TRUE
141265041,FALSE,FALSE,TRUE
141265042,FALSE,FALSE,TRUE
141265043,FALSE,FALSE,TRUE
141265044,FALSE,FALSE,TRUE
141265045,FALSE,FALSE,TRUE
141265046,FALSE,FALSE,TRUE
141265047,FALSE,FALSE,TRUE
141265048,FALSE,FALSE,TRUE
141265049,FALSE,FALSE,TRUE
141265050,FALSE,TRUE,TRUE
141265051,FALSE,FALSE,TRUE
141265052,FALSE,FALSE,TRUE
141265053,FALSE,FALSE,TRUE
141265054,FALSE,FALSE,TRUE
141265055,FALSE,FALSE,TRUE
141265057,FALSE,FALSE,TRUE
141265058,FALSE,FALSE,TRUE
141265060,FALSE,FALSE,TRUE
141265061,FALSE,FALSE,TRUE
141265062,FALSE,FALSE,TRUE
141265063,FALSE,FALSE,TRUE
141265064,FALSE,FALSE,TRUE
141265065,FALSE,FALSE,TRUE
141265066,FALSE,FALSE,TRUE
141265067,FALSE,FALSE,TRUE
141265068,FALSE,FALSE,TRUE
141265069,FALSE,FALSE,TRUE
141265070,FALSE,FALSE,TRUE
141265071,FALSE,FALSE,TRUE
141265072,FALSE,FALSE,TRUE
141265073,FALSE,FALSE,TRUE
141265074,FALSE,FALSE,TRUE
141265075,FALSE,FALSE,TRUE
141265076,FALSE,FALSE,TRUE
141265077,FALSE,FALSE,TRUE
141265078,FALSE,FALSE,TRUE
141265079,FALSE,FALSE,TRUE
141265080,FALSE,FALSE,TRUE
141265081,FALSE,FALSE,TRUE
141265082,FALSE,FALSE,TRUE
141265083,FALSE,FALSE,TRUE
141265084,FALSE,FALSE,TRUE
141265085,FALSE,FALSE,TRUE
141265086,FALSE,FALSE,TRUE
141265087,FALSE,FALSE,TRUE
141265088,FALSE,FALSE,TRUE
141265089,FALSE,FALSE,TRUE
141265090,FALSE,FALSE,TRUE
141265091,FALSE,FALSE,TRUE
141265092,FALSE,FALSE,TRUE
141265093,FALSE,FALSE,TRUE
141265094,FALSE,FALSE,TRUE
141265095,FALSE,FALSE,TRUE
141265096,FALSE,FALSE,TRUE
141265097,FALSE,FALSE,TRUE
141265098,FALSE,FALSE,TRUE
141265099,FALSE,FALSE,TRUE
141265100,FALSE,FALSE,TRUE
141265101,FALSE,FALSE,TRUE
141265102,FALSE,FALSE,TRUE
141265103,FALSE,FALSE,TRUE
141265104,FALSE,FALSE,TRUE
141265105,FALSE,FALSE,TRUE
141265106,FALSE,FALSE,TRUE
141265107,FALSE,FALSE,TRUE
141265108,FALSE,FALSE,TRUE
141265109,FALSE,FALSE,TRUE
141265110,FALSE,FALSE,TRUE
141265111,FALSE,FALSE,TRUE
141265112,FALSE,FALSE,TRUE
141265113,FALSE,FALSE,TRUE
141265114,FALSE,FALSE,TRUE
141265115,FALSE,FALSE,TRUE
141265116,FALSE,FALSE,TRUE
141265117,FALSE,FALSE,TRUE
141265118,FALSE,FALSE,TRUE
141265119,FALSE,FALSE,TRUE
141265120,FALSE,FALSE,TRUE
141265121,FALSE,FALSE,TRUE
141265122,FALSE,FALSE,TRUE
141265123,FALSE,FALSE,TRUE
141265124,FALSE,FALSE,TRUE
141265125,FALSE,FALSE,TRUE
141265126,FALSE,FALSE,TRUE
141265127,FALSE,FALSE,TRUE
141265128,FALSE,FALSE,TRUE
141265129,FALSE,FALSE,TRUE
141265130,FALSE,FALSE,TRUE
141265131,FALSE,FALSE,TRUE
141265132,FALSE,FALSE,TRUE
141265133,FALSE,FALSE,TRUE
141265134,FALSE,FALSE,TRUE
141265135,FALSE,FALSE,TRUE
141265136,FALSE,FALSE,TRUE
141265137,FALSE,FALSE,TRUE
141265138,FALSE,FALSE,TRUE
141265139,FALSE,FALSE,TRUE
141265140,FALSE,FALSE,TRUE
141265141,FALSE,FALSE,TRUE
141265142,FALSE,FALSE,TRUE
141265143,FALSE,FALSE,TRUE
141265144,FALSE,FALSE,TRUE
141265145,FALSE,FALSE,TRUE
141265146,FALSE,FALSE,TRUE
141265147,FALSE,FALSE,TRUE
141265148,FALSE,FALSE,TRUE
141265149,FALSE,FALSE,TRUE
141265150,FALSE,FALSE,TRUE
141265151,FALSE,FALSE,TRUE
141265152,FALSE,FALSE,TRUE
141265153,FALSE,FALSE,TRUE
141265154,FALSE,FALSE,TRUE
141265155,FALSE,FALSE,TRUE
141265156,FALSE,FALSE,TRUE
141265157,FALSE,FALSE,TRUE
141265158,FALSE,FALSE,TRUE
141265159,FALSE,FALSE,TRUE
141265160,FALSE,FALSE,TRUE
141265161,FALSE,FALSE,TRUE
141265162,FALSE,FALSE,TRUE
141265163,FALSE,FALSE,TRUE
141265164,FALSE,FALSE,TRUE
141265165,FALSE,FALSE,TRUE
141265166,FALSE,FALSE,TRUE
141265167,FALSE,FALSE,TRUE
141265168,FALSE,FALSE,TRUE
141265169,FALSE,FALSE,TRUE
141265170,FALSE,FALSE,TRUE
141265171,FALSE,FALSE,TRUE
141265172,FALSE,FALSE,TRUE
141265173,FALSE,FALSE,TRUE
141265174,FALSE,FALSE,TRUE
141265175,FALSE,FALSE,TRUE
141265176,FALSE,FALSE,TRUE
141265177,FALSE,FALSE,TRUE
141265178,FALSE,FALSE,TRUE
141265179,FALSE,FALSE,TRUE
141265180,FALSE,FALSE,TRUE
141265181,FALSE,FALSE,TRUE
141265182,FALSE,FALSE,TRUE
141265183,FALSE,FALSE,TRUE
141265184,FALSE,FALSE,TRUE
141265185,FALSE,FALSE,TRUE
141265186,FALSE,FALSE,TRUE
141265187,FALSE,FALSE,TRUE
141265188,FALSE,FALSE,TRUE
141265189,FALSE,FALSE,TRUE
141265190,FALSE,FALSE,TRUE
141265191,FALSE,FALSE,TRUE
141265192,FALSE,FALSE,TRUE
141265193,FALSE,FALSE,TRUE
141265194,FALSE,FALSE,TRUE
141265195,FALSE,FALSE,TRUE
141265196,FALSE,FALSE,TRUE
141265197,FALSE,FALSE,TRUE
141265198,FALSE,FALSE,TRUE
141265199,FALSE,FALSE,TRUE
141265200,FALSE,FALSE,TRUE
141265201,FALSE,FALSE,TRUE
141265202,FALSE,FALSE,TRUE
141265203,FALSE,FALSE,TRUE
141265204,FALSE,FALSE,TRUE
141265205,FALSE,FALSE,TRUE
141265206,FALSE,FALSE,TRUE
141265207,FALSE,FALSE,TRUE
141265208,FALSE,FALSE,TRUE
141265209,FALSE,FALSE,TRUE
141265210,FALSE,FALSE,TRUE
141265211,FALSE,FALSE,TRUE
141265212,FALSE,FALSE,TRUE
141265213,FALSE,FALSE,TRUE
141265214,FALSE,FALSE,TRUE
141265215,FALSE,FALSE,TRUE
141265216,FALSE,FALSE,TRUE
141265217,FALSE,FALSE,TRUE
141265218,FALSE,FALSE,TRUE
141265219,FALSE,FALSE,TRUE
141265220,FALSE,FALSE,TRUE
141265221,FALSE,FALSE,TRUE
141265222,FALSE,FALSE,TRUE
141265223,FALSE,FALSE,TRUE
141265224,FALSE,FALSE,TRUE
141265225,FALSE,FALSE,TRUE
141265226,FALSE,FALSE,TRUE
141265227,FALSE,FALSE,TRUE
141265228,FALSE,FALSE,TRUE
141265229,FALSE,FALSE,TRUE
141265230,FALSE,FALSE,TRUE
141265231,FALSE,FALSE,TRUE
141265232,FALSE,FALSE,TRUE
141265233,FALSE,FALSE,TRUE
141265234,FALSE,FALSE,TRUE
141265235,FALSE,FALSE,TRUE
141265236,FALSE,FALSE,TRUE
141265237,FALSE,FALSE,TRUE
141265238,FALSE,FALSE,TRUE
141265239,FALSE,FALSE,TRUE
141265240,FALSE,FALSE,TRUE
141265241,FALSE,FALSE,TRUE
141265242,FALSE,FALSE,TRUE
141265243,FALSE,FALSE,TRUE
141265244,FALSE,FALSE,TRUE
141265245,FALSE,FALSE,TRUE
141265246,FALSE,FALSE,TRUE
141265247,FALSE,FALSE,TRUE
141265248,FALSE,FALSE,TRUE
141265249,FALSE,FALSE,TRUE
