taxonKey,scientificName,taxonID,datasetKey,nameType,issues,validDistribution,bb_key,bb_scientificName,bb_kingdom,bb_rank,bb_taxonomicStatus,bb_acceptedKey,bb_acceptedName,bb_speciesKey
141264633,Typha x provincialis A. Camus,alien-plants-belgium:taxon:ca35024e67368678cd03cc7877d104ac,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,rankinv,TRUE,5289490,Typha provincialis A.Camus,Plantae,SPECIES,ACCEPTED,,,5289490
141264634,Typha minima Funck,alien-plants-belgium:taxon:a50809f6467475b74afbc4b18780c1aa,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5289492,Typha minima Funck,Plantae,SPECIES,ACCEPTED,,,5289492
141264635,Typha laxmannii Lepech.,alien-plants-belgium:taxon:8a2c25906888a98d9eeec22e36a497bd,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5289503,Typha laxmannii Lepech.,Plantae,SPECIES,ACCEPTED,,,5289503
141264637,Sagittaria latifolia Willd.,alien-plants-belgium:taxon:85e764f545b3388225ab50baec027316,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5328909,Sagittaria latifolia Willd.,Plantae,SPECIES,ACCEPTED,,,5328909
141264639,Myriophyllum heterophyllum Michaux,alien-plants-belgium:taxon:de3923afd6f856c6625c4d787a993776,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5361762,Myriophyllum heterophyllum Michx.,Plantae,SPECIES,ACCEPTED,,,5361762
141264640,Myriophyllum aquaticum (Velloso) Verdc.,alien-plants-belgium:taxon:87543dfb426da13687d602e9e1207f0a,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5361785,Myriophyllum aquaticum (Vell.) Verdc.,Plantae,SPECIES,ACCEPTED,,,5361785
141264642,Canna x generalis L.H. Bailey,alien-plants-belgium:taxon:711b75a032839feeb88bf15ad37fe737,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,rankinv,TRUE,5602664,Canna generalis L.H.Bailey,Plantae,SPECIES,ACCEPTED,,,5602664
141264644,Periploca graeca L.,alien-plants-belgium:taxon:f7a66fd709241ba9d3a29e7eb7337e3b,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5414545,Periploca graeca L.,Plantae,SPECIES,ACCEPTED,,,5414545
141264645,Gomphocarpus fruticosus (L.) W.T.Aiton,alien-plants-belgium:taxon:bff437c22b155c71db7e943203e320af,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,7150619,Gomphocarpus fruticosus (L.) W.T.Aiton,Plantae,SPECIES,ACCEPTED,,,7150619
141264646,Asclepias syriaca L.,alien-plants-belgium:taxon:cd5e4ddee44120a8fec7af46e1b9528c,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3170247,Asclepias syriaca L.,Plantae,SPECIES,ACCEPTED,,,3170247
141264647,Vincetoxicum rossicum (Kleopow) Barbar.,alien-plants-belgium:taxon:97488b82e5759e8cc3835a489b320ac6,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5414550,Vincetoxicum rossicum (Kleopow) Barbar.,Plantae,SPECIES,ACCEPTED,,,5414550
141264648,Asclepias incarnata L.,alien-plants-belgium:taxon:9b70a94ac84fc14c989b48ab13b01bc7,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3170266,Asclepias incarnata L.,Plantae,SPECIES,ACCEPTED,,,3170266
141264649,Vinca major L.,alien-plants-belgium:taxon:9f6d56b733097e9fcfd06105d11f70c3,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3169708,Vinca major L.,Plantae,SPECIES,ACCEPTED,,,3169708
141264650,Vincetoxicum nigrum (L.) Moench,alien-plants-belgium:taxon:712c3521f0dee1d14a12d1897348fd42,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5414551,Vincetoxicum nigrum (L.) Moench,Plantae,SPECIES,ACCEPTED,,,5414551
141264652,Clethra alnifolia L.,alien-plants-belgium:taxon:71ef55626b563abddbe14677e11213fa,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2888323,Clethra alnifolia L.,Plantae,SPECIES,ACCEPTED,,,2888323
141264654,Gleditsia triacanthos L.,alien-plants-belgium:taxon:fa0131c00475baa7d2d0c3acadb81108,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2959443,Gleditsia triacanthos L.,Plantae,SPECIES,ACCEPTED,,,2959443
141264655,Senna obtusifolia (L.) Irwin & Barneby,alien-plants-belgium:taxon:a20c5f1403b911f7616c9479810ed23f,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2957408,Senna obtusifolia (L.) H.S.Irwin & Barneby,Plantae,SPECIES,ACCEPTED,,,2957408
141264656,Senna occidentalis (L.) Link,alien-plants-belgium:taxon:7b397fbda2fee9c8af52c0a266a053d3,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2957966,Senna occidentalis (L.) Link,Plantae,SPECIES,ACCEPTED,,,2957966
141264659,Catalpa bignonioides Walter,alien-plants-belgium:taxon:c142153d25a142b9b1fe885a729f2cd4,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3172615,Catalpa bignonioides Walter,Plantae,SPECIES,ACCEPTED,,,3172615
141264660,Catalpa x erubescens Carr.,alien-plants-belgium:taxon:7ea3d0445f2b2be416ba6774b9082a50,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,rankinv,TRUE,4926977,Catalpa ×erubescens Carrière,Plantae,SPECIES,ACCEPTED,,,4926977
141264661,Catalpa ovata G. Don,alien-plants-belgium:taxon:68f0e17a8af7f982ea59c93a8709b325,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3172613,Catalpa ovata G.Don,Plantae,SPECIES,ACCEPTED,,,3172613
141264663,Zelkova serrata (Thunb.) Makino,alien-plants-belgium:taxon:68abc16df29d29554b6726afc6f27c25,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2984532,Zelkova serrata (Thunb.) Makino,Plantae,SPECIES,ACCEPTED,,,2984532
