key,countryCode,occurrenceStatus,eventDate,locationID,establishmentMeans,locality,pathway,degreeOfEstablishment,occurrenceRemarks,source,Invasiveness
206094948,BE,present,2010-07-04/2022-05-02,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094953,BE,present,2020-09-06/2020-09-06,ISO_3166-2:BE,introduced,Belgium,,,,,
206094953,BE,present,2020-09-06/2020-09-06,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094961,BE,present,2021-11-25/2023-02-03,ISO_3166-2:BE,introduced,Belgium,,,,,
206094961,BE,present,2021-11-25/2023-02-03,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094964,BE,present,2006-08-17/2023-12-31,ISO_3166-2:BE,introduced,Belgium,,,,,
206094964,BE,present,2014-05-18/2023-11-19,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094964,BE,present,2006-08-17/2023-12-31,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094964,BE,present,2008-04-27/2023-12-26,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094967,BE,present,2016-04-19/2016-07-28,ISO_3166-2:BE,introduced,Belgium,,,,,
206094967,BE,present,2016-04-19/2016-07-28,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094969,BE,present,2015-07-28/2023-11-23,ISO_3166-2:BE,introduced,Belgium,,,,,
206094969,BE,present,2015-07-28/2018-05-15,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094969,BE,present,2016-01-14/2023-11-23,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094973,BE,present,1992-08-21/2023-11-05,ISO_3166-2:BE,introduced,Belgium,,,,,
206094973,BE,present,2015-05-26/2015-05-26,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
